"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout_in_arena","haunches_in_arena","time_to_emerge_s","arena_entry","arena_entry_01","remaining_bait_g","bait_eaten_g","id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","sex","morph","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_l_mm","pes_r_mm","head_length_mm","processing_time_min","moon_phase","start_time","finish_time","first_light","time_processtoassay","time_assaytolight"
"1",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_1",-1.20891943321641,"53328","Repeat assay",2,"G33","Quollosseum",2024-01-20 00:46:27,"2024-01-20 00:47:27",60.0000000000004,"P","1",60,0,"GoorooyarrooA_1_53328",1,0,0,20,24,0,1,1,1,2,1,1.88,0,0,147.784,65.9,0,5.2,805.199,47.519,319.839,27.439,5,46,"M","Black","2024-01-18 00:14:00",2024-01-18 00:19:30,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.69,"2-3yrs",55.4,55.7,91.6,"3.8194444444444443E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,2906.95,1.46256374836273
"2",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_2",-1.20891943321641,"891E8","Initial assay",1,"G78","Quollosseum",2024-01-20 04:33:32,"2024-01-20 04:34:38",65.9999999999983,"P","1",52,8,"GoorooyarrooA_2_891E8",0,0,33,110,118,6,0,5,12,17,10,0,0,114.784,302.62,202.478,36.439,0,156.155,68.468,108.743,866.591,44,267,"F","Black","2024-01-19 02:49:00",2024-01-19 02:57:18,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.94,"1-2yrs",53,55,86.9,"5.7638888888888887E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,1536.23333333333,1.67789129427646
"3",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_3",-1.20891943321641,"461D6","Initial assay",1,"G79","Aquollpolis",2024-01-20 04:38:27,"2024-01-20 04:39:08",41,"E","0",55,5,"GoorooyarrooA_3_461D6",6,2,14,57,65,3,0,4,9,11,5,7.519,70.08,93.834,177.494,162.605,175.558,0,203.676,298.671,130.75,566.875,29,147,"F","Black","2024-01-19 03:06:00",2024-01-19 03:13:37,"1. Quiet","1. Quiet","1. Quiet","Good",0.92,"1-2yrs",55,54.9,87.8,"5.2893518518518515E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,1524.83333333333,1.6825534319678
"4",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_4",-1.20891943321641,"5FA46","Initial assay",1,"G58","Quollympia",2024-01-20 04:42:39,"2024-01-20 04:43:17",37.9999999999995,"E","0",60,0,"GoorooyarrooA_4_5FA46",33,0,38,116,116,4,0,11,15,8,3,17.479,0,94.316,385.735,113.512,15.64,0,960.111,107.465,61.232,71.637,37,307,"F","Black","2024-01-19 03:20:00",2024-01-19 03:31:38,"1. Quiet","1. Quiet","2. Fiesty","Excellent",1.15,"1-2yrs",54.6,51.7,93.1,"8.0787037037037043E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,1511.01666666667,1.68653600382617
"5",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_5",-0.789385748629892,"87148","Initial assay",1,"G78","Quollosseum",2024-01-20 05:17:29,"2024-01-20 05:17:29",0,"E","0",59,1,"GoorooyarrooA_5_87148",39,0,76,135,185,20,0,15,26,28,16,16.356,0,268.491,272.682,222.002,109.632,0,403.025,220.255,185.894,389.424,85,455,"M","Black","2024-01-19 03:35:00",2024-01-19 03:41:50,"1. Quiet","2. Fiesty","2. Fiesty","Excellent",1.39,"1-2yrs",61.9,61.1,97.3,"4.7453703703703703E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,1535.65,1.71956606408009
"6",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_6",-0.789385748629892,"C5DDC","Initial assay",1,"G40","Aquollpolis",2024-01-20 05:21:11,"2024-01-20 05:21:11",0,"E","0",59,1,"GoorooyarrooA_6_C5DDC",16,1,35,93,135,16,0,5,11,12,6,6.996,0.2,141.146,267.874,145.52,147.427,0,140.195,84.909,462.829,512.034,34,296,"M","Black","2024-01-19 04:17:00",2024-01-19 04:24:29,"1. Quiet","1. Quiet","2. Fiesty","Excellent",1.57,"1-2yrs",60.7,60.8,94.2,"5.1967592592592595E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,1496.7,1.72307452024104
"7",2024-01-20,"Goorooyarroo","GSBehavAssaysSUMA","GoorooA_8",-0.579618906336634,"83712","Initial assay",1,"G28","Quollosseum",2024-01-20 05:52:16,"2024-01-20 05:52:20",3.99999999999743,"E","0",60,0,"GoorooyarrooA_8_83712",52,0,88,116,180,14,0,8,17,18,9,28.036,0,207.734,226.912,144.028,76.44,0,377.472,312.944,209.704,297.991,52,450,"M","Black","2024-01-19 04:04:00",2024-01-19 04:16:23,"1. Quiet","1. Quiet","1. Quiet","Good",1.62,"1-2yrs",61.2,61.4,101.2,"8.5995370370370375E-3",-1.04776210137453,1899-12-31 23:25:00,1899-12-31 06:30:00,2024-01-19 05:38:00,1535.88333333333,1.75254871276427
"8",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_1",-0.160085221750118,"87148","Repeat assay",2,"G59","Quollosseum",2024-02-16 00:50:39,"2024-02-16 00:51:50",70.9999999999999,"P","1",60,0,"GoorooyarrooB_1_87148",0,0,0,9,11,0,0,1,1,2,1,0,0,0,232.758,12.038,0,0,88.879,1.799,458.279,651.039,5,20,"M","Black","2024-02-16 00:06:00",2024-02-16 00:08:50,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.602,"1-2yrs",62.9,64,101.7,"1.9675925925925924E-3",-1.36174898372649,1899-12-31 22:30:00,1899-12-31 02:30:00,2024-02-16 06:10:00,41.8166666666667,0.0707497070027225
"9",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_2",-0.160085221750118,"461D6","Repeat assay",2,"G78","Quollympia",2024-02-16 00:55:52,"2024-02-16 00:55:53",0.999999999999956,"E","0",60,0,"GoorooyarrooB_2_461D6",2,0,3,5,14,2,0,1,1,2,1,0.96,0,69.838,21.879,15.198,990.679,0,287.639,7.079,860.799,44.479,5,26,"F","Black","2024-02-15 23:23:00",2024-02-15 23:28:23,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.862,"1-2yrs",57.5,56.6,88.2,"3.7384259259259259E-3",-1.36174898372649,1899-12-31 22:30:00,1899-12-31 02:30:00,2024-02-16 06:10:00,87.4833333333333,0.0756963141125205
"10",2024-02-16,"Goorooyarroo","GSBehavAssaysSUMB","GoorooB_3",-0.160085221750118,"891E8","Repeat assay",2,"G78","Aquollpolis",2024-02-16 00:59:34,"2024-02-16 01:00:03",29.0000000000005,"E","0",60,0,"GoorooyarrooB_3_891E8",11,0,5,51,43,0,0,4,6,6,3,11.68,0,35.56,510.819,58.427,0,0,319.716,82.114,424.435,373.717,19,110,"F","Black","2024-02-15 23:40:00",2024-02-15 23:44:06,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.928,"1-2yrs",56.1,56.9,86.8,"2.8472222222222223E-3",-1.36174898372649,1899-12-31 22:30:00,1899-12-31 02:30:00,2024-02-16 06:10:00,75.4666666666667,0.0792047702734634
