"","study_site","session","assay_id","temp","quoll_code","assay_number","arena","obs_id","section_1_o","section_2_o","section_3_o","section_4_o","section_1_d","section_2_d","section_3_d","section_4_d","moon_phase","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_mean_mm","head_length_mm","sex","morph","cond_n","age_n","time_processtoassay","time_assaytolight","foodo_p","foodd_p","groomo_p","groomd_p","jumpo_p","jumpd_p","legsd_p","legso_p","moved_p","moveo_p","perchd_p","percho_p","bait_p","sumsecto_p","totalacto_p","trapstress_p","bagstress_p","tablestress_p","emerge_p"
"1","Goorooyarroo","GSBehavAssaysSUMA","GoorooA_2",-1.4276501447423,"891E8","1","Quollosseum","GoorooyarrooA_2_891E8",5,12,17,10,156.155,68.468,108.743,866.591,-1.12951382066255,1,1,1,"Excellent",0.94,"1-2yrs",54,86.9,"F","Black","4","1",-0.42218068465004,-1.01043245520812,17.0371254234223,32.1835028056146,0.443333193986691,9.14984539873397,22.2544870452464,88.2687534788088,257.712933632844,76.5223593276224,121.931143165272,99.3626297823919,41.6917773265592,4.51416854748107,3.58374015418233,31.0430797949264,220.134103320151,0.999999999999998,1.17757563750073,1.37868603868586,36.4484729849977
"2","Goorooyarroo","GSBehavAssaysSUMA","GoorooA_3",-1.4276501447423,"461D6","1","Aquollpolis","GoorooyarrooA_3_461D6",4,9,11,5,203.676,298.671,130.75,566.875,-1.12951382066255,1,1,1,"Good",0.92,"1-2yrs",54.95,87.8,"F","Black","3","1",-0.60710240842714,-1.05069752495733,18.829074850297,37.7138178765984,0.388121658589979,8.6411881390272,25.046969075392,94.465401384021,263.102036498863,82.2911043964916,130.353383969104,107.019586726432,43.7548009492738,5.17060887046447,4.17504547475391,33.9542657347441,238.745465577667,0.999999999999998,1.18826569612373,1.40959177334426,35.2541787765173
"3","Goorooyarroo","GSBehavAssaysSUMA","GoorooA_4",-1.4276501447423,"5FA46","1","Quollympia","GoorooyarrooA_4_5FA46",11,15,8,3,960.111,107.465,61.232,71.637,-1.12951382066255,1,1,2,"Excellent",1.15,"1-2yrs",53.15,93.1,"F","Black","4","1",-0.831225374817807,-1.08509344894649,20.8996655132637,44.3760678779582,0.320117579147498,7.99654095435249,28.2704568709576,101.413599597193,269.440333366334,88.9111785081577,139.952201947302,115.797561433448,46.7692989015304,5.9567770127966,4.9074457717132,37.3556965102544,260.155756917771,0.999999999999998,1.20101207962192,1.44465516940513,33.9354418932315
"4","Goorooyarroo","GSBehavAssaysSUMA","GoorooA_5",-0.967554363498338,"87148","1","Quollosseum","GoorooyarrooA_5_87148",15,26,28,16,403.025,220.255,185.894,389.424,-1.12951382066255,1,2,2,"Excellent",1.39,"1-2yrs",61.5,97.3,"M","Black","4","1",-0.431643053556763,-1.37036123123753,20.7241807970883,24.7064088355603,0.402800399533051,8.86200198977175,32.8272722769383,117.297986019277,267.3405461268,86.3532018821464,134.708378051618,112.547957892833,63.5232710885212,6.19350978846052,1.9493413605245,35.9943080971914,259.048923037,0.999999999999998,1.13734157034086,1.41789237051582,25.4827637245156
"5","Goorooyarroo","GSBehavAssaysSUMA","GoorooA_6",-0.967554363498338,"C5DDC","1","Aquollpolis","GoorooyarrooA_6_C5DDC",5,11,12,6,140.195,84.909,462.829,512.034,-1.12951382066255,1,1,2,"Excellent",1.57,"1-2yrs",60.75,94.2,"M","Black","4","1",-1.06345894312852,-1.40066240237083,26.092820237284,43.3005961359137,0.206056231566202,6.91438192147154,41.1695469876388,134.284231258869,284.314335439907,103.295993022266,158.950421549556,134.969652381893,74.400648430623,8.36612470745709,4.08688668600653,44.99590820898,314.100193568105,0.999999999999998,1.17230326790886,1.50565921700285,22.360921491945
"6","Goorooyarroo","GSBehavAssaysSUMA","GoorooA_8",-0.737506472876356,"83712","1","Quollosseum","GoorooyarrooA_8_83712",8,17,18,9,377.472,312.944,209.704,297.991,-1.12951382066255,1,1,1,"Good",1.62,"1-2yrs",61.3,101.2,"M","Black","3","1",-0.427858105994074,-1.65521953824298,23.2353640868475,21.0127645774979,0.393141885581343,8.95019078389636,39.1779259262537,135.692461561858,273.338134168109,93.7565562761536,145.220973244208,122.509344539994,70.5339609912765,7.07283013757345,0.988230224624674,39.2761999283281,286.145162852404,0.999999999999998,1.11828728321465,1.45381308729567,19.100919739637
"7","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_1",-0.277410691632391,"87148","2","Quollosseum","GoorooyarrooB_1_87148",1,1,2,1,88.879,1.799,458.279,651.039,-1.45192504799368,1,1,1,"Excellent",1.602,"1-2yrs",63.45,101.7,"M","Black","4","1",-1.30488452694862,1.07693605894346,10.5651399855822,15.1073631577855,-0.262031052872821,-2.19485998017172,21.5570954884634,58.3487904247016,283.342166598633,40.1200017241623,51.1850619667953,47.0876201030284,230.47832919827,7.42564367289097,3.10939021431881,23.3535305615597,126.493469921254,0.999999999999999,1.05438826531822,1.09257666130903,30.9723996357855
"8","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_2",-0.277410691632391,"461D6","2","Quollympia","GoorooyarrooB_2_461D6",1,1,2,1,287.639,7.079,860.799,44.479,-1.45192504799368,1,1,1,"Excellent",0.862,"1-2yrs",57.05,88.2,"F","Black","4","1",-0.564116218250885,1.03421413748074,4.82060942763951,-6.47366375154205,-0.0254477032599767,0.241584254588926,12.6506402766802,41.4865685084334,264.491015842492,22.2739760992347,26.0699012996392,23.5272661755096,214.932387978376,4.92959951708865,0.517710604491713,13.4889545076434,68.1766437928927,0.999999999999999,1.01453753737337,1.00267935782517,33.9332914330768
"9","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_3",-0.277410691632391,"891E8","2","Aquollpolis","GoorooyarrooB_3_891E8",4,6,6,3,319.716,82.114,424.435,373.717,-1.45192504799368,1,1,1,"Excellent",0.928,"1-2yrs",56.5,86.8,"F","Black","4","1",-0.759041017729377,1.00391296634743,6.62416330056649,-0.678270606110509,-0.0845632016721192,-0.318324831218404,15.458496604544,47.5446447917323,270.008757053773,28.0415675686697,34.4345355751348,31.1751341848258,217.540378479711,5.61360054156955,1.15427346416371,16.450658146973,86.8283989985036,0.999999999999999,1.02562898145948,1.03323897816713,32.7829042809526
"10","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_5",-0.277410691632391,"83712","2","Quollympia","GoorooyarrooB_5_83712",2,4,3,1,330.038,731.357,53.997,84.599,-1.45192504799368,1,1,1,"Excellent",1.621,"1-2yrs",61.6,106.9,"M","Black","4","1",0.0879761761209938,0.262489715914462,4.92279407757782,-23.4109743409492,0.238280107163393,3.82151441929685,13.0137738241598,55.2875389059212,257.7442384061,25.5009973646005,34.9895622516508,28.3792857158866,175.045387914661,3.21292625049822,-2.56614636097954,11.2720829910293,75.2680573398865,0.999999999999999,0.990151484781198,1.04554875615453,29.9790721724245
