"","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d"
"food_d",1,0.00338685835530136,0.124577761375063,-0.0389730617703526,0.183039155844429,0.0527736657886068,-0.0829159685147107,-0.0700695108693582,-0.00863261179097063,0.0944788021073634,0.0280207702669393
"grooming_d",0.00338685835530136,1,0.00260335987297794,-0.241593850750328,-0.0222166743454685,0.0161759242860038,-0.0739167123002436,0.0414965750669106,0.0956660838625476,-0.0299204797167733,-0.099199101635532
"jump_climb_d",0.124577761375063,0.00260335987297794,1,-0.052192144708213,0.461906111590741,0.272827943958742,-0.152226856574429,-0.221469942533394,0.223805719779804,0.138294506244247,-0.00557091723728098
"legs_d",-0.0389730617703526,-0.241593850750328,-0.052192144708213,1,0.25727214520751,-0.330701922669972,-0.0378089779622843,-0.298755317287212,0.320135719293508,0.0411899921565569,0.0632108380136306
"moving_d",0.183039155844429,-0.0222166743454685,0.461906111590741,0.25727214520751,1,-0.0525010649474891,-0.042336501067271,-0.187546414417428,0.0278894009440079,0.104250176704548,0.122817662357267
"perch_d",0.0527736657886068,0.0161759242860038,0.272827943958742,-0.330701922669972,-0.0525010649474891,1,-0.0910819674952967,0.011974567730759,-0.095276430281041,0.285909301943861,-0.106531209302622
"resting_d",-0.0829159685147107,-0.0739167123002436,-0.152226856574429,-0.0378089779622843,-0.042336501067271,-0.0910819674952967,1,0.160148074377467,-0.0964324509856221,0.0917283686007148,-0.15507575306631
"section_1_d",-0.0700695108693582,0.0414965750669106,-0.221469942533394,-0.298755317287212,-0.187546414417428,0.011974567730759,0.160148074377467,1,-0.276329117039048,-0.386890033728784,-0.659681839993235
"section_2_d",-0.00863261179097063,0.0956660838625476,0.223805719779804,0.320135719293508,0.0278894009440079,-0.095276430281041,-0.0964324509856221,-0.276329117039048,1,-0.15946415931233,-0.35202776804012
"section_3_d",0.0944788021073634,-0.0299204797167733,0.138294506244247,0.0411899921565569,0.104250176704548,0.285909301943861,0.0917283686007148,-0.386890033728784,-0.15946415931233,1,-0.0354271785718706
"section_4_d",0.0280207702669393,-0.099199101635532,-0.00557091723728098,0.0632108380136306,0.122817662357267,-0.106531209302622,-0.15507575306631,-0.659681839993235,-0.35202776804012,-0.0354271785718706,1
