"","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d"
"food_d",1,0.0268222878733032,0.0901104005100538,-0.0746356288967379,0.169994732727244,0.0531677489811902,-0.0846405442602404,-0.0391051266338135,-0.0217311809497397,0.0414512672170317,0.0352178633523868
"grooming_d",0.0268222878733032,1,0.0135750495409392,-0.209764308676764,-0.0328701188516414,-0.0103674664588556,-0.078404560652109,0.0513440317067347,0.0953460243483597,-0.0474950328610217,-0.103378986598679
"jump_climb_d",0.0901104005100538,0.0135750495409392,1,-0.0797888312845346,0.409907305705902,0.264316343764885,-0.15953791015142,-0.229189729891099,0.197295067228797,0.120177234535504,0.0273967592975358
"legs_d",-0.0746356288967379,-0.209764308676764,-0.0797888312845346,1,0.253508811683407,-0.344899703879651,-0.0389709873991385,-0.244976648245111,0.323234335329676,-0.00807022973145167,0.0236042765450833
"moving_d",0.169994732727244,-0.0328701188516414,0.409907305705902,0.253508811683407,1,-0.0888435627990566,-0.0486654320398673,-0.182216091654884,-0.00682075064465384,0.0504763342892702,0.176876357749214
"perch_d",0.0531677489811902,-0.0103674664588556,0.264316343764885,-0.344899703879651,-0.0888435627990566,1,-0.0976450284771564,0.00399447158311223,-0.1207428325651,0.288164692905783,-0.0823116980112151
"resting_d",-0.0846405442602404,-0.078404560652109,-0.15953791015142,-0.0389709873991385,-0.0486654320398673,-0.0976450284771564,1,0.168107146646489,-0.102538133988375,0.0885083397378779,-0.159034083796783
"section_1_d",-0.0391051266338135,0.0513440317067347,-0.229189729891099,-0.244976648245111,-0.182216091654884,0.00399447158311223,0.168107146646489,1,-0.282102556987876,-0.3955634307246,-0.652691797846475
"section_2_d",-0.0217311809497397,0.0953460243483597,0.197295067228797,0.323234335329676,-0.00682075064465384,-0.1207428325651,-0.102538133988375,-0.282102556987876,1,-0.202130144137041,-0.350566978131029
"section_3_d",0.0414512672170317,-0.0474950328610217,0.120177234535504,-0.00807022973145167,0.0504763342892702,0.288164692905783,0.0885083397378779,-0.3955634307246,-0.202130144137041,1,-2.63642556008109e-05
"section_4_d",0.0352178633523868,-0.103378986598679,0.0273967592975358,0.0236042765450833,0.176876357749214,-0.0823116980112151,-0.159034083796783,-0.652691797846475,-0.350566978131029,-2.63642556008109e-05,1
