"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o"
"food_o",1,0.0254346477939671,0.363855973777551,0.628456997532937,0.74511127510034,0.228045715641517,-0.151555653242108,0.552560987899627,0.583166505274963,0.59674204521657,0.57900639076945
"grooming_o",0.0254346477939671,1,0.03305806821845,-0.0601136037086755,0.0284019923440402,0.0470296988343673,-0.0749335756482496,-0.0239473557988863,0.015143278620138,0.0566563319453821,0.0646006424028303
"jump_climb_o",0.363855973777551,0.03305806821845,1,0.676668895602644,0.697092373224523,0.871442158373667,-0.142769231712273,0.735554260133766,0.765358449853359,0.771651797439398,0.753510496726825
"legs_o",0.628456997532937,-0.0601136037086755,0.676668895602644,1,0.931176047710502,0.460598802189072,-0.148070976794972,0.745351341091615,0.774560773447205,0.775887394951043,0.742282407157438
"moving_o",0.74511127510034,0.0284019923440402,0.697092373224523,0.931176047710502,1,0.497841557979773,-0.16575681277051,0.82235317405704,0.859962897924509,0.865471881054393,0.826192578580474
"perch_o",0.228045715641517,0.0470296988343673,0.871442158373667,0.460598802189072,0.497841557979773,1,-0.111894177695046,0.628402115336322,0.676597848990462,0.700042658153622,0.685563905494961
"resting_o",-0.151555653242108,-0.0749335756482496,-0.142769231712273,-0.148070976794972,-0.16575681277051,-0.111894177695046,1,-0.152494297016693,-0.159742680796577,-0.15171750472755,-0.14978423488965
"section_1_o",0.552560987899627,-0.0239473557988863,0.735554260133766,0.745351341091615,0.82235317405704,0.628402115336322,-0.152494297016693,1,0.969058491980035,0.823487480439554,0.724286932790252
"section_2_o",0.583166505274963,0.015143278620138,0.765358449853359,0.774560773447205,0.859962897924509,0.676597848990462,-0.159742680796577,0.969058491980035,1,0.920353162716474,0.823442449242698
"section_3_o",0.59674204521657,0.0566563319453821,0.771651797439398,0.775887394951043,0.865471881054393,0.700042658153622,-0.15171750472755,0.823487480439554,0.920353162716474,1,0.972077515655849
"section_4_o",0.57900639076945,0.0646006424028303,0.753510496726825,0.742282407157438,0.826192578580474,0.685563905494961,-0.14978423488965,0.724286932790252,0.823442449242698,0.972077515655849,1
