"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d"
"food_o",1,0.0254346477939671,0.363855973777551,0.628456997532937,0.74511127510034,0.228045715641517,-0.151555653242108,0.552560987899627,0.583166505274963,0.59674204521657,0.57900639076945,0.445287044049335,-0.0574371777768726,0.337330373500557,0.199457784657439,0.571995323103216,-0.0905902824658852,-0.151555653242108,-0.128146366423056,0.0607046786315959,0.20599578455458,-0.024944016709606
"grooming_o",0.0254346477939671,1,0.03305806821845,-0.0601136037086755,0.0284019923440402,0.0470296988343673,-0.0749335756482496,-0.0239473557988863,0.015143278620138,0.0566563319453821,0.0646006424028303,0.00997226979575981,0.787797400067549,-0.0147322596675547,-0.29173661205241,-0.0643741562682904,-0.0521030207207776,-0.0749335756482496,-0.0692959761326436,0.0349126477766219,-0.0221283038361185,0.0620638046205054
"jump_climb_o",0.363855973777551,0.03305806821845,1,0.676668895602644,0.697092373224523,0.871442158373667,-0.142769231712273,0.735554260133766,0.765358449853359,0.771651797439398,0.753510496726825,0.170810139746883,0.0929012362893426,0.843118885192272,-0.0961168990147732,0.488290159429821,0.304580156835657,-0.142769231712273,-0.146352721376609,0.133490094405138,0.10330290399569,-0.000203632085088894
"legs_o",0.628456997532937,-0.0601136037086755,0.676668895602644,1,0.931176047710502,0.460598802189072,-0.148070976794972,0.745351341091615,0.774560773447205,0.775887394951043,0.742282407157438,0.258082309468676,0.00296693145965804,0.670663303459891,0.371979582010095,0.820920293215308,-0.0300193513271918,-0.148070976794972,-0.230298277158279,0.153065960037317,0.105839055391691,0.0752951709215453
"moving_o",0.74511127510034,0.0284019923440402,0.697092373224523,0.931176047710502,1,0.497841557979773,-0.16575681277051,0.82235317405704,0.859962897924509,0.865471881054393,0.826192578580474,0.37745054572657,0.0440445638363346,0.628269015648574,0.207028928793675,0.861769311436818,-0.00458656924319006,-0.16575681277051,-0.206796610356045,0.142876608650147,0.115482262786899,0.0516088772240228
"perch_o",0.228045715641517,0.0470296988343673,0.871442158373667,0.460598802189072,0.497841557979773,1,-0.111894177695046,0.628402115336322,0.676597848990462,0.700042658153622,0.685563905494961,0.336971639507803,0.0959243461447154,0.744386982205162,-0.16640640763478,0.274661581214794,0.396597926548873,-0.111894177695046,-0.133203464732671,0.108820353875825,0.152004905090464,-0.0239475150709563
"resting_o",-0.151555653242108,-0.0749335756482496,-0.142769231712273,-0.148070976794972,-0.16575681277051,-0.111894177695046,1,-0.152494297016693,-0.159742680796577,-0.15171750472755,-0.14978423488965,-0.0829159685147107,-0.0739167123002436,-0.152226856574429,-0.0378089779622843,-0.042336501067271,-0.0910819674952967,1,0.160148074377467,-0.0964324509856221,0.0917283686007148,-0.15507575306631
"section_1_o",0.552560987899627,-0.0239473557988863,0.735554260133766,0.745351341091615,0.82235317405704,0.628402115336322,-0.152494297016693,1,0.969058491980035,0.823487480439554,0.724286932790252,0.450264539297498,0.0829310892070783,0.630108150632663,0.0829738150686398,0.662539991078801,0.130166680471852,-0.152494297016693,-0.020055380724704,0.194015026234125,0.0385598552734293,-0.145204185639816
"section_2_o",0.583166505274963,0.015143278620138,0.765358449853359,0.774560773447205,0.859962897924509,0.676597848990462,-0.159742680796577,0.969058491980035,1,0.920353162716474,0.823442449242698,0.485961194655076,0.103057835228076,0.661951429217245,0.0958901590820245,0.693361203039983,0.12495657160401,-0.159742680796577,-0.156556013643929,0.238686829971673,0.104297231364693,-0.067832332608867
"section_3_o",0.59674204521657,0.0566563319453821,0.771651797439398,0.775887394951043,0.865471881054393,0.700042658153622,-0.15171750472755,0.823487480439554,0.920353162716474,1,0.972077515655849,0.455048340449137,0.0916979988872201,0.665161865705028,0.0804271963902806,0.72485897699317,0.128585169385222,-0.15171750472755,-0.288895474334462,0.191814372245939,0.211025807441852,0.0494882048855385
"section_4_o",0.57900639076945,0.0646006424028303,0.753510496726825,0.742282407157438,0.826192578580474,0.685563905494961,-0.14978423488965,0.724286932790252,0.823442449242698,0.972077515655849,1,0.398008423034372,0.0605871564316879,0.645865183999685,0.0575789290954756,0.698925200451076,0.12815855993231,-0.14978423488965,-0.300652123728711,0.130363017533078,0.222076821557346,0.101585110920952
