"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d"
"food_o",1,0.0386344352510844,0.39271746653702,0.618930473177346,0.759255930020118,0.261927282161965,-0.157707001661285,0.572932849798714,0.602844727589506,0.609716576316172,0.584507914060991,0.409920590794091,-0.0497498296006558,0.317374900180085,0.170163180106216,0.590720311899465,-0.0826382747924164,-0.157707001661285,-0.126829107400928,0.0483443939521322,0.155588508466142,0.0124976963106788
"grooming_o",0.0386344352510844,1,0.0168119419510332,-0.0687043909136354,0.0179213197200155,0.0305145825530412,-0.0781808513044646,-0.0374305311978054,0.00238811293793337,0.0461981615382401,0.0572104327825719,0.0178812698872647,0.78537671947657,-0.0213697116498868,-0.283607232721357,-0.0799261428094481,-0.0669546525819164,-0.0781808513044646,-0.0900675526696875,0.024949072784296,-0.0247622998053614,0.0977689546112031
"jump_climb_o",0.39271746653702,0.0168119419510332,1,0.682595040693135,0.696456973191238,0.869016431863912,-0.148766370894791,0.730918142708704,0.761857350980121,0.770221509806685,0.754360073210658,0.179423368637852,0.0780096531021786,0.849796887118603,-0.0831898176854379,0.476542418709841,0.290663525898885,-0.148766370894791,-0.179825995391075,0.117552360140499,0.0948803611661337,0.0549770086749584
"legs_o",0.618930473177346,-0.0687043909136354,0.682595040693135,1,0.929704893087191,0.467232734933278,-0.153233041744839,0.744035915748419,0.772921361207384,0.771573495598328,0.735836148932427,0.234029430833269,-0.00368229346283731,0.659820635427426,0.373910567823118,0.82050748209227,-0.0393088329484731,-0.153233041744839,-0.256021034578527,0.134810006947493,0.0658538196365054,0.14579367776937
"moving_o",0.759255930020118,0.0179213197200155,0.696456973191238,0.929704893087191,1,0.497422550395165,-0.171792088672576,0.819475028451868,0.857417968897015,0.861785378303018,0.821535530951909,0.367492499367669,0.0341118399850036,0.616930403814187,0.210823386355955,0.858756215825277,-0.018379662059447,-0.171792088672576,-0.237167122323493,0.122883330722763,0.0826423832533193,0.123470547207252
"perch_o",0.261927282161965,0.0305145825530412,0.869016431863912,0.467232734933278,0.497422550395165,1,-0.117582682329331,0.624580602430902,0.674738042538264,0.701599114232349,0.690034232565458,0.359975685927159,0.0805542102544449,0.754708607674758,-0.150621488968638,0.261140869975268,0.383982306097571,-0.117582682329331,-0.166061441893735,0.0954059937699613,0.154321865946286,0.0213306091361849
"resting_o",-0.157707001661285,-0.0781808513044646,-0.148766370894791,-0.153233041744839,-0.171792088672576,-0.117582682329331,1,-0.157525286238968,-0.165029344478707,-0.15667200900147,-0.153712074600139,-0.0828336839060642,-0.0771078981763355,-0.155868839811164,-0.0350706460034534,-0.0464195569784098,-0.0952926099632197,1,0.158154145221387,-0.0997540872704902,0.0932845384018099,-0.157512710145676
"section_1_o",0.572932849798714,-0.0374305311978054,0.730918142708704,0.744035915748419,0.819475028451868,0.624580602430902,-0.157525286238968,1,0.968333818002371,0.819458627233213,0.719167741428305,0.455093289379152,0.0715213018705988,0.624168492411029,0.0910127378641897,0.653492438753276,0.116943742589363,-0.157525286238968,-0.0447481212443549,0.178230668132798,0.0172368092806128,-0.0998608875339714
"section_2_o",0.602844727589506,0.00238811293793337,0.761857350980121,0.772921361207384,0.857417968897015,0.674738042538264,-0.165029344478707,0.968333818002371,1,0.918490983342557,0.820193854560059,0.490437546985564,0.0921280629615627,0.655909071762176,0.103349359121594,0.684692801972488,0.111777040525511,-0.165029344478707,-0.185532390821272,0.223202389539757,0.083104730122236,-0.0143388739411404
"section_3_o",0.609716576316172,0.0461981615382401,0.770221509806685,0.771573495598328,0.861785378303018,0.701599114232349,-0.15667200900147,0.819458627233213,0.918490983342557,1,0.971759580960246,0.453947912294684,0.0820767172921557,0.657426073858016,0.0840216552484248,0.717139520884088,0.117378197068572,-0.15667200900147,-0.320092261542209,0.175158774253192,0.189745105032001,0.1126658742047
"section_4_o",0.584507914060991,0.0572104327825719,0.754360073210658,0.735836148932427,0.821535530951909,0.690034232565458,-0.153712074600139,0.719167741428305,0.820193854560059,0.971759580960246,1,0.390981686844972,0.0532326017955425,0.637127523022948,0.0564464595533418,0.692164665194012,0.120400115632045,-0.153712074600139,-0.326774708244232,0.114347682922386,0.200015933979003,0.1618259148968
"food_d",0.409920590794091,0.0178812698872647,0.179423368637852,0.234029430833269,0.367492499367669,0.359975685927159,-0.0828336839060642,0.455093289379152,0.490437546985564,0.453947912294684,0.390981686844972,1,0.0110141116705724,0.103392143288932,-0.0666416772280578,0.176783982273242,0.0636516077790383,-0.0828336839060642,-0.0647612310097914,-0.0176600062601356,0.0594720007380219,0.0516922963035857
"grooming_d",-0.0497498296006558,0.78537671947657,0.0780096531021786,-0.00368229346283731,0.0341118399850036,0.0805542102544449,-0.0771078981763355,0.0715213018705988,0.0921280629615627,0.0820767172921557,0.0532326017955425,0.0110141116705724,1,-0.00361154921473492,-0.232728617922886,-0.0366792406696761,0.00249684646730078,-0.0771078981763355,0.0234246245019535,0.0866693811499995,-0.0327387717365062,-0.0752333724011563
