"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o"
"food_o",1,0.0386344352510844,0.39271746653702,0.618930473177346,0.759255930020118,0.261927282161965,-0.157707001661285,0.572932849798714,0.602844727589506,0.609716576316172,0.584507914060991
"grooming_o",0.0386344352510844,1,0.0168119419510332,-0.0687043909136354,0.0179213197200155,0.0305145825530412,-0.0781808513044646,-0.0374305311978054,0.00238811293793337,0.0461981615382401,0.0572104327825719
"jump_climb_o",0.39271746653702,0.0168119419510332,1,0.682595040693135,0.696456973191238,0.869016431863912,-0.148766370894791,0.730918142708704,0.761857350980121,0.770221509806685,0.754360073210658
"legs_o",0.618930473177346,-0.0687043909136354,0.682595040693135,1,0.929704893087191,0.467232734933278,-0.153233041744839,0.744035915748419,0.772921361207384,0.771573495598328,0.735836148932427
"moving_o",0.759255930020118,0.0179213197200155,0.696456973191238,0.929704893087191,1,0.497422550395165,-0.171792088672576,0.819475028451868,0.857417968897015,0.861785378303018,0.821535530951909
"perch_o",0.261927282161965,0.0305145825530412,0.869016431863912,0.467232734933278,0.497422550395165,1,-0.117582682329331,0.624580602430902,0.674738042538264,0.701599114232349,0.690034232565458
"resting_o",-0.157707001661285,-0.0781808513044646,-0.148766370894791,-0.153233041744839,-0.171792088672576,-0.117582682329331,1,-0.157525286238968,-0.165029344478707,-0.15667200900147,-0.153712074600139
"section_1_o",0.572932849798714,-0.0374305311978054,0.730918142708704,0.744035915748419,0.819475028451868,0.624580602430902,-0.157525286238968,1,0.968333818002371,0.819458627233213,0.719167741428305
"section_2_o",0.602844727589506,0.00238811293793337,0.761857350980121,0.772921361207384,0.857417968897015,0.674738042538264,-0.165029344478707,0.968333818002371,1,0.918490983342557,0.820193854560059
"section_3_o",0.609716576316172,0.0461981615382401,0.770221509806685,0.771573495598328,0.861785378303018,0.701599114232349,-0.15667200900147,0.819458627233213,0.918490983342557,1,0.971759580960246
"section_4_o",0.584507914060991,0.0572104327825719,0.754360073210658,0.735836148932427,0.821535530951909,0.690034232565458,-0.153712074600139,0.719167741428305,0.820193854560059,0.971759580960246,1
