"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d"
"food_o",1,-0.166455322435744,0.70401363689741,0.892367381852559,0.937262807061656,0.599284153089799,-0.552255662916621,0.863499171974975,0.87345674766621,0.867103483900198,0.852743966278575,0.669413897362119,-0.216850115258977,0.677350095994375,0.284221586969133,0.886173656004962,-0.0821791278655906,-0.552255662916621,-0.343652619729999,0.176163502705753,0.133621924481137,0.211677581591894
"grooming_o",-0.166455322435744,1,-0.0993448457102165,-0.221667999380899,-0.164530243553393,-0.0749365258626329,-0.184297839153203,-0.166688405621008,-0.140234336005904,-0.110999472176536,-0.101314588294765,-0.0671919140893187,0.938975997006665,-0.117332442363714,-0.449531241029553,-0.259391772961899,-0.0627362023816315,-0.184297839153203,-0.0273813932827213,-0.00150051406249409,-0.111875644692823,0.0916018255293218
"jump_climb_o",0.70401363689741,-0.0993448457102165,1,0.843537297798029,0.834823021802016,0.969543936210378,-0.560844302114895,0.893491042336538,0.91170366323419,0.932466875311291,0.939304972514186,0.474260098083347,-0.117908653822143,0.98275126774906,-0.0728458971323276,0.700488509564839,0.378540859604568,-0.560844302114895,-0.379375466267463,0.205784584572893,0.194049809010853,0.201710240764716
"legs_o",0.892367381852559,-0.221667999380899,0.843537297798029,1,0.985420467889918,0.719458110143878,-0.576882893537042,0.925558733737265,0.938309909738475,0.936200507406344,0.925588814830471,0.509999010399301,-0.226506175481927,0.848690856978811,0.36416678496783,0.952232873668277,-0.031960705083603,-0.576882893537042,-0.447901215396517,0.282699676719928,0.0775561391521152,0.287745733857943
"moving_o",0.937262807061656,-0.164530243553393,0.834823021802016,0.985420467889918,1,0.720960837081744,-0.590165680694444,0.948145972532197,0.959401593426426,0.952601761494236,0.938521979758466,0.606010818899928,-0.176244558191767,0.826245265620571,0.282023863904394,0.956575348632772,-0.0195513518254749,-0.590165680694444,-0.410769206079367,0.248730096371845,0.0740553240438492,0.269821138817043
"perch_o",0.599284153089799,-0.0749365258626329,0.969543936210378,0.719458110143878,0.720960837081744,1,-0.527919307952028,0.826702475143222,0.84901047748356,0.875115248078545,0.884100507921783,0.53239225595132,-0.0964993547692899,0.941566168577063,-0.206023017397745,0.550424231227008,0.50645042318874,-0.527919307952028,-0.347767847712087,0.163911454022029,0.251665020119917,0.16473750685992
"resting_o",-0.552255662916621,-0.184297839153203,-0.560844302114895,-0.576882893537042,-0.590165680694444,-0.527919307952028,1,-0.581956541132993,-0.601595248372436,-0.600701686199706,-0.594149190373333,-0.428864270105852,-0.169025815455021,-0.570548062484603,-0.110259656746339,-0.454900835391053,-0.210644865512081,1,0.426654058993147,-0.280800200246555,0.00634411983597707,-0.307470363852026
"section_1_o",0.863499171974975,-0.166688405621008,0.893491042336538,0.925558733737265,0.948145972532197,0.826702475143222,-0.581956541132993,1,0.992680309313488,0.954846075949411,0.929714433540961,0.666570529586177,-0.125826732528268,0.87542551292247,0.129232179006111,0.848866204062591,0.140875412819422,-0.581956541132993,-0.256264498531569,0.294923848073535,0.0304850701453508,0.074739480865726
"section_2_o",0.87345674766621,-0.140234336005904,0.91170366323419,0.938309909738475,0.959401593426426,0.84901047748356,-0.601595248372436,0.992680309313488,1,0.981821065110998,0.96270935025944,0.67248889447214,-0.124664267303282,0.894132671878537,0.13843686466162,0.858879788637375,0.142671823247936,-0.601595248372436,-0.358473487715155,0.305474598507715,0.0918488136827226,0.157214064026483
"section_3_o",0.867103483900198,-0.110999472176536,0.932466875311291,0.936200507406344,0.952601761494236,0.875115248078545,-0.600701686199706,0.954846075949411,0.981821065110998,1,0.996050214338241,0.64064163532773,-0.137968457917463,0.910511666415324,0.114852198374019,0.85771624861654,0.171282044631557,-0.600701686199706,-0.470262703345519,0.25161158891948,0.199139546205578,0.274081649261156
"section_4_o",0.852743966278575,-0.101314588294765,0.939304972514186,0.925588814830471,0.938521979758466,0.884100507921783,-0.594149190373333,0.929714433540961,0.96270935025944,0.996050214338241,1,0.610664721127303,-0.146823837124961,0.914288909753836,0.0901215785340563,0.846000680911135,0.19236721255118,-0.594149190373333,-0.495391843976242,0.209994200694725,0.232757481265309,0.316834338890862
"food_d",0.669413897362119,-0.0671919140893187,0.474260098083347,0.509999010399301,0.606010818899928,0.53239225595132,-0.428864270105852,0.666570529586177,0.67248889447214,0.64064163532773,0.610664721127303,1,-0.084650487207612,0.416887455861852,-0.0574839871876259,0.483236444158519,0.096666066876098,-0.428864270105852,-0.161479201868981,0.0317688255078474,0.0627076496886883,0.136060237996735
"grooming_d",-0.216850115258977,0.938975997006665,-0.117908653822143,-0.226506175481927,-0.176244558191767,-0.0964993547692899,-0.169025815455021,-0.125826732528268,-0.124664267303282,-0.137968457917463,-0.146823837124961,-0.084650487207612,1,-0.128175039310836,-0.417756663576645,-0.268182642071402,-0.041586130691277,-0.169025815455021,0.139549825016079,0.0876096805140073,-0.205068128321341,-0.123709317632406
"jump_climb_d",0.677350095994375,-0.117332442363714,0.98275126774906,0.848690856978811,0.826245265620571,0.941566168577063,-0.570548062484603,0.87542551292247,0.894132671878537,0.910511666415324,0.914288909753836,0.416887455861852,-0.128175039310836,1,-0.0169639412615145,0.700003508057295,0.363355238633013,-0.570548062484603,-0.417557504158947,0.286100181856778,0.186497908649034,0.192990246562765
"legs_d",0.284221586969133,-0.449531241029553,-0.0728458971323276,0.36416678496783,0.282023863904394,-0.206023017397745,-0.110259656746339,0.129232179006111,0.13843686466162,0.114852198374019,0.0901215785340563,-0.0574839871876259,-0.417756663576645,-0.0169639412615145,1,0.401349313917854,-0.590042447196535,-0.110259656746339,-0.345803083036977,0.464648801583583,-0.0906170980739395,0.122281037122902
"moving_d",0.886173656004962,-0.259391772961899,0.700488509564839,0.952232873668277,0.956575348632772,0.550424231227008,-0.454900835391053,0.848866204062591,0.858879788637375,0.85771624861654,0.846000680911135,0.483236444158519,-0.268182642071402,0.700003508057295,0.401349313917854,1,-0.143238491139643,-0.454900835391053,-0.406567558769112,0.161461694446866,0.0692245365126325,0.33064659984136
"perch_d",-0.0821791278655906,-0.0627362023816315,0.378540859604568,-0.031960705083603,-0.0195513518254749,0.50645042318874,-0.210644865512081,0.140875412819422,0.142671823247936,0.171282044631557,0.19236721255118,0.096666066876098,-0.041586130691277,0.363355238633013,-0.590042447196535,-0.143238491139643,1,-0.210644865512081,-0.00348202568777471,-0.214305131783995,0.433889674085507,-0.0647118452332687
"resting_d",-0.552255662916621,-0.184297839153203,-0.560844302114895,-0.576882893537042,-0.590165680694444,-0.527919307952028,1,-0.581956541132993,-0.601595248372436,-0.600701686199706,-0.594149190373333,-0.428864270105852,-0.169025815455021,-0.570548062484603,-0.110259656746339,-0.454900835391053,-0.210644865512081,1,0.426654058993147,-0.280800200246555,0.00634411983597708,-0.307470363852026
"section_1_d",-0.343652619729999,-0.0273813932827213,-0.379375466267463,-0.447901215396517,-0.410769206079367,-0.347767847712087,0.426654058993147,-0.256264498531569,-0.358473487715155,-0.470262703345519,-0.495391843976242,-0.161479201868981,0.139549825016079,-0.417557504158947,-0.345803083036977,-0.406567558769112,-0.00348202568777471,0.426654058993147,1,-0.255553084185503,-0.465081092525085,-0.766133748101882
"section_2_d",0.176163502705753,-0.00150051406249409,0.205784584572893,0.282699676719928,0.248730096371845,0.163911454022029,-0.280800200246555,0.294923848073535,0.305474598507715,0.25161158891948,0.209994200694725,0.0317688255078474,0.0876096805140073,0.286100181856778,0.464648801583583,0.161461694446866,-0.214305131783995,-0.280800200246555,-0.255553084185503,1,-0.263689326109532,-0.283989611948016
"section_3_d",0.133621924481137,-0.111875644692823,0.194049809010853,0.0775561391521152,0.0740553240438492,0.251665020119917,0.00634411983597707,0.0304850701453508,0.0918488136827226,0.199139546205578,0.232757481265309,0.0627076496886883,-0.205068128321341,0.186497908649034,-0.0906170980739395,0.0692245365126325,0.433889674085507,0.00634411983597708,-0.465081092525085,-0.263689326109532,1,0.229275557365327
"section_4_d",0.211677581591894,0.0916018255293218,0.201710240764716,0.287745733857943,0.269821138817043,0.16473750685992,-0.307470363852026,0.074739480865726,0.157214064026483,0.274081649261156,0.316834338890862,0.136060237996735,-0.123709317632406,0.192990246562765,0.122281037122902,0.33064659984136,-0.0647118452332687,-0.307470363852026,-0.766133748101882,-0.283989611948016,0.229275557365327,1
