date,study_site,session,assay_id,temp,pit,initial_repeat_assay,assay_number,trap_location,arena,snout_in_arena,haunches_in_arena,arena_entry,handler_initials,scribe_initials,remaining_bait_g,comment,id,quoll,food_o,grooming_o,jump_climb_o,legs_o,moving_o,perch_o,resting_o,section_1_o,section_2_o,section_3_o,section_4_o,food_d,grooming_d,jump_climb_d,legs_d,moving_d,perch_d,resting_d,section_1_d,section_2_d,section_3_d,section_4_d
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_1,11,53328,NA,1,G33,Quollosseum,3.2256944444444442E-2,3.2951388888888891E-2,P,CG,SP,60,NA,GoorooyarrooA_1_53328,53328,1,0,0,20,24,0,1,1,1,2,1,1.88,0,0,147.784,65.9,0,5.2,805.199,47.519,319.839,27.439
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_2,11,891E8,Initial assay,1,G78,Quollosseum,0.18995370370370371,0.19071759259259258,P,CG,SP,52,NA,GoorooyarrooA_2_891E8,891E8,0,0,33,110,118,6,0,5,12,17,10,0,0,114.784,302.62,202.478,36.439,0,156.155,68.468,108.743,866.591
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_3,11,461D6,Initial assay,1,G79,Aquollpolis,0.19336805555555556,0.19384259259259259,E,CG,SP,55,NA,GoorooyarrooA_3_461D6,461D6,6,2,14,57,65,3,0,4,9,11,5,7.519,70.08,93.834,177.494,162.605,175.558,0,203.676,298.671,130.75,566.875
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_4,11,5FA46,Initial assay,1,G58,Quollympia,0.19628472222222224,0.19672453703703704,E,CG,SP,60,NA,GoorooyarrooA_4_5FA46,5FA46,33,0,38,116,116,4,0,11,15,8,3,17.479,0,94.316,385.735,113.512,15.64,0,960.111,107.465,61.232,71.637
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_5,13,87148,Initial assay,1,G78,Quollosseum,0.22047453703703704,0.22047453703703704,E,CG,SP,59,NA,GoorooyarrooA_5_87148,87148,39,0,76,135,185,20,0,15,26,28,16,16.356,0,268.491,272.682,222.002,109.632,0,403.025,220.255,185.894,389.424
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_6,13,C5DDC,Initial assay,1,G40,Aquollpolis,0.2230439814814815,0.2230439814814815,E,CG,SP,59,NA,GoorooyarrooA_6_C5DDC,C5DDC,16,1,35,93,135,16,0,5,11,12,6,6.996,0.2,141.146,267.874,145.52,147.427,0,140.195,84.909,462.829,512.034
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_7,14,87F61,NA,1,G70,Quollympia,0.22563657407407409,0.22563657407407409,E,CG,SP,58,daylight,GoorooyarrooA_7_87F61,87F61,17,0,79,153,203,3,0,22,34,26,12,17.598,0,199.215,249.563,274.958,5.32,0,293.338,244.966,171.414,490.189
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_8,14,83712,Initial assay,1,G28,Quollosseum,0.24462962962962964,0.24467592592592591,E,CG,SP,60,daylight,GoorooyarrooA_8_83712,83712,52,0,88,116,180,14,0,8,17,18,9,28.036,0,207.734,226.912,144.028,76.44,0,376.992,312.944,209.704,297.991
2024-01-20T00:00:00Z,Goorooyarroo,GoorooA,GoorooA_9,14,5FC08,NA,1,G30,Aquollpolis,0.24902777777777776,0.24943287037037035,P,CG,SP,60,daylight,GoorooyarrooA_9_5FC08,5FC08,16,0,70,107,127,19,0,9,16,15,8,4.279,0,230.729,173.96,91.116,92.353,0,272.991,108.864,92.025,726.073
2024-01-24T00:00:00Z,MFWS,MFWSA,MulligansA_1,23,56861,Initial assay,1,W55,Quollympia,0.95619212962962974,0.95659722222222221,E,CG,SP,10,Food caching,MulligansA_1_56861,56861,48,1,104,100,157,51,0,17,32,39,24,228.183,0.64,251.909,109.316,139.043,364.016,0,289.223,219.09,374.281,314.897
2024-01-24T00:00:00Z,MFWS,MFWSA,MulligansA_2,23,87DE0,NA,1,W55,Aquollpolis,0.96228009259259262,0.96228009259259262,E,CG,SP,34,Sept trial recapture,MulligansA_2_87DE0,87DE0,35,0,29,71,98,0,0,7,13,10,4,65.195,0,64.753,214.68,78.973,0,0,203.873,113.467,195.23,687.397
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_3,23,53526,NA,1,W7,Quollosseum,1.8159722222222219E-2,1.8159722222222219E-2,E,CG,SP,21,NA,MulligansA_3_53526,53526,14,3,27,40,54,5,0,3,5,6,4,80.438,41.999,42.313,102.339,46.591,170.237,0,177.517,60.796,201.714,759.477
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_4,23,563A6,N/A,N/A,W8,Quollympia,N/A,N/A,N/A,CG,SP,N/A,Escaped during introduction into arena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_5,23,84B2F,NA,1,W57,Quollympia,2.2534722222222223E-2,2.2534722222222223E-2,E,CG,SP,58,NA,MulligansA_5_84B2F,84B2F,26,0,158,107,169,59,0,19,37,38,20,15.239,0,297.937,228.685,144.252,263.361,0,326.461,162.883,386.042,324.501
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_6,23,61888,Initial assay,1,W62,Aquollpolis,2.4502314814814814E-2,2.4502314814814814E-2,E,CG,SP,59,NA,MulligansA_6_61888,61888,18,2,81,75,116,11,0,11,21,23,12,10.36,63,71.91,114.997,97.842,86.956,0,667.75,141.699,240.218,148.468
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_7,23,5597A,Initial assay,1,W19,Aquollpolis,6.0335648148148145E-2,6.0335648148148145E-2,E,CG,SP,48,Backward entry,MulligansA_7_5597A,5597A,9,0,40,51,83,8,0,3,4,8,6,6.68,0,89.717,85.018,68.788,507.394,0,325.318,29.116,64.912,780.634
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_8,23,53512,NA,1,W63,Quollosseum,6.3750000000000001E-2,6.3750000000000001E-2,P,CG,SP,59,Caching food attempt,MulligansA_8_53512,53512,31,0,64,43,112,25,0,15,31,27,11,118.786,0,179.776,43.891,129.8,609.229,0,357.785,181.289,225.693,432.87
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_9,23,56EB2,N/A,N/A,W63,Quollympia,N/A,N/A,N/A,CG,SP,N/A,Escaped during introduction into arena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_10,23,6D53F,NA,1,W19,Quollympia,6.7881944444444439E-2,6.7881944444444439E-2,E,CG,SP,48,NA,MulligansA_10_6D53F,6D53F,22,0,7,92,104,0,0,5,11,12,6,45.76,0,17.04,493.743,84.46,0,0,85.795,282.35,259.708,572.114
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_11,23,86FFC,NA,1,W64,Quollosseum,0.11866898148148149,0.1187037037037037,E,CG,MWS,60,NA,MulligansA_11_86FFC,86FFC,5,0,104,62,82,33,0,12,14,12,9,4,0,222.327,89.752,69.369,687.985,0,788.309,193.666,89.988,127.991
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_12,24,53527,Initial assay,1,W75,Quollympia,0.12017361111111112,0.12019675925925927,E,CG,MWS,48,NA,MulligansA_12_53527,53527,36,1,50,69,121,14,0,11,20,20,10,77.919,1.32,152.747,133.237,107.81,74.156,0,525.989,193.5,262.661,217.27
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_13,24,5CB85,Initial assay,1,W75,Aquollpolis,0.12209490740740742,0.1221412037037037,E,CG,MWS,60,NA,MulligansA_13_5CB85,5CB85,11,1,105,111,109,43,0,18,30,21,9,5.68,68.2,206.788,210.098,68.888,342.432,0,317.462,395.891,310.5,176.031
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_14,23,71872,Initial assay,1,W64,Quollosseum,0.16114583333333332,0.16114583333333332,E,CG,SP,39,NA,MulligansA_14_71872,71872,40,4,98,140,181,25,0,14,25,25,13,97.117,66.16,243.932,183.301,123.643,195.826,0,505.506,217.695,227.256,249.507
2024-01-25T00:00:00Z,MFWS,MFWSA,MulligansA_15,23,BCA09,NA,1,W22,Quollympia,0.16320601851851851,0.16349537037037037,E,CG,MWS,49,NA,MulligansA_15_BCA09,BCA09,59,0,8,122,203,0,0,17,33,37,20,127.712,0,5.52,376.038,227.373,0,0,259.943,307.007,382.124,250.82
