study_site,session,assay_id,temp,quoll_code,assay_number,arena,emerge_max,bait_eaten_g,obs_id,food_o,grooming_o,jump_climb_o,legs_o,moving_o,perch_o,resting_o,section_1_o,section_2_o,section_3_o,section_4_o,food_d,grooming_d,jump_climb_d,legs_d,moving_d,perch_d,resting_d,section_1_d,section_2_d,section_3_d,section_4_d,sumsect_o,totalact_o,moon_phase,stress_in_trap,stress_in_bag,stress_on_table,condition,body_weight_kg,age_estimate,pes_mean_mm,head_length_mm,sex,morph,cond_n,age_n,time_processtoassay,time_assaytolight,i_bait_eaten_g,s_bait_eaten_g,i_food_o,s_food_o,i_food_d,s_food_d,i_grooming_o,s_grooming_o,i_grooming_d,s_grooming_d,i_jump_climb_o,s_jump_climb_o,i_jump_climb_d,s_jump_climb_d,i_legs_o,s_legs_o,i_legs_d,s_legs_d,i_moving_o,s_moving_o,i_moving_d,s_moving_d,i_perch_o,s_perch_o,i_perch_d,s_perch_d,i_sumsect_o,s_sumsect_o,i_totalact_o,s_totalact_o,i_emerge_max,s_emerge_max,i_stress_in_trap,s_stress_in_trap,i_stress_in_bag,s_stress_in_bag,i_stress_on_table,s_stress_on_table
Goorooyarroo,GSBehavAssaysSUMB,GoorooB_1,16,87148,2,Quollosseum,60,0,GoorooyarrooB_1_87148,0,0,0,9,11,0,0,1,1,2,1,0,0,0,232.758,12.038,0,0,88.879,1.799,458.279,651.039,5,20,45.04,1,1,1,Excellent,1.602,1-2yrs,63.45,101.7,M,Black,4,1,41.8166666666667,319.35,1,-1,39,-39,16.356,-16.356,0,0,0,0,76,-76,268.491,-268.491,135,-126,272.682,-39.9239999999999,185,-174,222.002,-209.964,20,-20,109.632,-109.632,85,-80,455,-435,0,60,1,3.14018491736755e-16,2,-1,2,-1
Goorooyarroo,GSBehavAssaysSUMB,GoorooB_2,16,461D6,2,Quollympia,0.9999999999999565,0,GoorooyarrooB_2_461D6,2,0,3,5,14,2,0,1,1,2,1,0.96,0,69.838,21.879,15.198,990.679,0,287.639,7.079,860.799,44.479,5,26,45.04,1,1,1,Excellent,0.862,1-2yrs,57.05,88.2,F,Black,4,1,87.4833333333333,314.133333333333,5,-5,6,-4,7.519,-6.559,2,-2,70.08,-70.08,14,-11,93.834,-23.996,57,-52,177.494,-155.615,65,-51,162.605,-147.407,3,-0.999999999999999,175.558,815.121,29,-24,147,-121,41,-40,1,3.14018491736755e-16,1,3.14018491736755e-16,1,3.14018491736755e-16
Goorooyarroo,GSBehavAssaysSUMB,GoorooB_3,16,891E8,2,Aquollpolis,29.000000000000536,0,GoorooyarrooB_3_891E8,11,0,5,51,43,0,0,4,6,6,3,11.68,0,35.56,510.819,58.427,0,0,319.716,82.114,424.435,373.717,19,110,45.04,1,1,1,Excellent,0.928,1-2yrs,56.5,86.8,F,Black,4,1,75.4666666666667,310.433333333333,8,-8,0,11,0,11.68,0,0,0,0,33,-28,114.784,-79.224,110,-59,302.62,208.199,118,-75,202.478,-144.051,6,-6,36.439,-36.439,44,-25,267,-157,60,-30.9999999999995,1,3.14018491736755e-16,1,3.14018491736755e-16,1,3.14018491736755e-16
Goorooyarroo,GSBehavAssaysSUMB,GoorooB_5,16,83712,2,Quollympia,60,0,GoorooyarrooB_5_83712,5,0,9,28,24,5,0,2,4,3,1,2.12,0,26.555,272.381,16.673,26.157,0,330.038,731.357,53.997,84.599,10,71,45.04,1,1,1,Excellent,1.621,1-2yrs,61.599999999999994,106.9,M,Black,4,1,127.683333333333,219.9,0,0,52,-47,28.036,-25.916,0,0,0,0,88,-79,207.734,-181.179,116,-88,226.912,45.469,180,-156,144.028,-127.355,14,-9,76.44,-50.283,52,-42,450,-379,3.99999999999742,56.0000000000026,1,3.14018491736755e-16,1,3.14018491736755e-16,1,3.14018491736755e-16
Goorooyarroo,GSBehavAssaysSUMB,GoorooB_6,16,C5DDC,2,Aquollpolis,0,0,GoorooyarrooB_6_C5DDC,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2.2,0,0,1200,0,0,0,1,2,45.04,1,1,1,Excellent,1.604,1-2yrs,60.6,107.1,M,Black,4,1,118.466666666667,216.033333333333,1,-1,16,-16,6.996,-6.996,1,-1,0.2,-0.2,35,-35,141.146,-141.146,93,-93,267.874,-267.874,135,-133,145.52,-143.32,16,-16,147.427,-147.427,34,-33,296,-294,0,0,1,3.14018491736755e-16,1,3.14018491736755e-16,2,-1
Goorooyarroo,GSBehavAssaysSUMB,GoorooB_7,16,5FA46,2,Quollosseum,60,0,GoorooyarrooB_7_5FA46,2,0,0,4,11,0,0,1,1,0,0,0.76,0,0,535.64,5.16,0,0,127.919,1072.08,0,0,2,17,45.04,1,1,1,Excellent,1.218,1-2yrs,54.3,92.8,F,Black,4,1,156.366666666667,181.5,0,0,33,-31,17.479,-16.719,0,0,0,0,38,-38,94.316,-94.316,116,-112,385.735,149.905,116,-105,113.512,-108.352,4,-4,15.64,-15.64,37,-35,307,-290,37.9999999999995,22.0000000000005,1,3.14018491736755e-16,1,3.14018491736755e-16,2,-1
Mulligans Flat,MFBehavAssaysSUMB,MulligansB_10,15,56861,2,Quollosseum,5.999999999999739,31,MulligansB_10_56861,18,0,64,94,150,37,0,19,36,31,14,435.638,0,112.761,163.299,85.091,177.371,0,295.901,160.524,143.289,600.187,100,363,86,1,2,1,Good,0.56,1-2yrs,49.9,81.7,F,Black,3,1,84.05,220.066666666667,50,-19,48,-30,228.183,207.455,1,-1,0.64,-0.64,104,-40,251.909,-139.148,100,-5.99999999999999,109.316,53.983,157,-6.99999999999998,139.043,-53.952,51,-14,364.016,-186.645,112,-12,461,-97.9999999999999,34.9999999999895,-28.9999999999897,1,3.14018491736755e-16,1,1,1,3.14018491736755e-16
Mulligans Flat,MFBehavAssaysSUMB,MulligansB_11,15,525C8,2,Quollympia,60,17,MulligansB_11_525C8,15,0,3,23,34,0,0,1,1,3,2,63.76,0,15.04,112.438,23.479,0,0,283.479,29.839,738.718,147.958,7,75,86,1,1,1,Good,1.07,1-2yrs,53.25,84.7,M,Fawn,3,1,84.8,217.2,8,9,24,-8.99999999999999,64.88,-1.11999999999998,0,0,0,0,3,6.2803698347351e-16,5.759,9.281,41,-18,104.271,8.16700000000001,85,-51,97.586,-74.107,0,0,0,0,21,-14,153,-77.9999999999999,34.9999999999991,25.0000000000009,1,3.14018491736755e-16,1,3.14018491736755e-16,1,3.14018491736755e-16
Mulligans Flat,MFBehavAssaysSUMB,MulligansB_12,15,61888,2,Aquollpolis,32.99999999999916,2,MulligansB_12_61888,6,0,19,61,77,3,0,7,14,18,11,10.52,0,44.517,269.488,77.5,12.118,0,139.833,85.466,127.822,846.83,50,166,86,1,1,1,Good,1.095,2-3yrs,55.6,91.1,F,Black,3,2,143.366666666667,213.366666666667,1,1,18,-12,10.36,0.160000000000003,2,-2,63,-63,81,-62,71.91,-27.393,75,-14,114.997,154.491,116,-39,97.842,-20.342,11,-8,86.956,-74.838,67,-17,303,-137,0,32.9999999999992,1,3.14018491736755e-16,1,3.14018491736755e-16,1,3.14018491736755e-16
Mulligans Flat,MFBehavAssaysSUMB,MulligansB_13,15,84B2F,2,Quollosseum,60,16,MulligansB_13_84B2F,31,0,34,65,130,15,0,17,21,9,4,68.4,0,100.943,121.462,95.953,54.993,0,817.464,197.379,53.231,131.876,51,275,86,1,1,1,Good,0.825,1-2yrs,52.7,84.7,F,Black,3,1,148.383333333333,176.05,2,14,26,5,15.239,53.161,0,0,0,0,158,-124,297.937,-196.994,107,-42,228.685,-107.223,169,-39,144.252,-48.299,59,-44,263.361,-208.368,114,-63,519,-244,0,60,1,3.14018491736755e-16,1,3.14018491736755e-16,1,3.14018491736755e-16
