"","study_site","session","assay_id","temp","quoll_code","assay_number","arena","emerge_max","bait_eaten_g","obs_id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","moon_phase","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_mean_mm","head_length_mm","sex","morph","cond_n","age_n","time_processtoassay","time_assaytolight"
"1","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_1",16,"87148","2","Quollosseum",60,0,"GoorooyarrooB_1_87148",0,0,0,9,11,0,0,1,1,2,1,0,0,0,232.758,12.038,0,0,88.879,1.799,458.279,651.039,5,20,45.04,1,1,1,"Excellent",1.602,"1-2yrs",63.45,101.7,"M","Black",4,1,41.8166666666667,319.35
"2","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_2",16,"461D6","2","Quollympia",0.999999999999956,0,"GoorooyarrooB_2_461D6",2,0,3,5,14,2,0,1,1,2,1,0.96,0,69.838,21.879,15.198,990.679,0,287.639,7.079,860.799,44.479,5,26,45.04,1,1,1,"Excellent",0.862,"1-2yrs",57.05,88.2,"F","Black",4,1,87.4833333333333,314.133333333333
"3","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_3",16,"891E8","2","Aquollpolis",29.0000000000005,0,"GoorooyarrooB_3_891E8",11,0,5,51,43,0,0,4,6,6,3,11.68,0,35.56,510.819,58.427,0,0,319.716,82.114,424.435,373.717,19,110,45.04,1,1,1,"Excellent",0.928,"1-2yrs",56.5,86.8,"F","Black",4,1,75.4666666666667,310.433333333333
"4","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_5",16,"83712","2","Quollympia",60,0,"GoorooyarrooB_5_83712",5,0,9,28,24,5,0,2,4,3,1,2.12,0,26.555,272.381,16.673,26.157,0,330.038,731.357,53.997,84.599,10,71,45.04,1,1,1,"Excellent",1.621,"1-2yrs",61.6,106.9,"M","Black",4,1,127.683333333333,219.9
"5","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_6",16,"C5DDC","2","Aquollpolis",0,0,"GoorooyarrooB_6_C5DDC",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2.2,0,0,1200,0,0,0,1,2,45.04,1,1,1,"Excellent",1.604,"1-2yrs",60.6,107.1,"M","Black",4,1,118.466666666667,216.033333333333
"6","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_7",16,"5FA46","2","Quollosseum",60,0,"GoorooyarrooB_7_5FA46",2,0,0,4,11,0,0,1,1,0,0,0.76,0,0,535.64,5.16,0,0,127.919,1072.08,0,0,2,17,45.04,1,1,1,"Excellent",1.218,"1-2yrs",54.3,92.8,"F","Black",4,1,156.366666666667,181.5
"7","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_10",15,"56861","2","Quollosseum",5.99999999999974,31,"MulligansB_10_56861",18,0,64,94,150,37,0,19,36,31,14,435.638,0,112.761,163.299,85.091,177.371,0,295.901,160.524,143.289,600.187,100,363,86,1,2,1,"Good",0.56,"1-2yrs",49.9,81.7,"F","Black",3,1,84.05,220.066666666667
"8","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_11",15,"525C8","2","Quollympia",60,17,"MulligansB_11_525C8",15,0,3,23,34,0,0,1,1,3,2,63.76,0,15.04,112.438,23.479,0,0,283.479,29.839,738.718,147.958,7,75,86,1,1,1,"Good",1.07,"1-2yrs",53.25,84.7,"M","Fawn",3,1,84.8,217.2
"9","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_12",15,"61888","2","Aquollpolis",32.9999999999992,2,"MulligansB_12_61888",6,0,19,61,77,3,0,7,14,18,11,10.52,0,44.517,269.488,77.5,12.118,0,139.833,85.466,127.822,846.83,50,166,86,1,1,1,"Good",1.095,"2-3yrs",55.6,91.1,"F","Black",3,2,143.366666666667,213.366666666667
"10","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_13",15,"84B2F","2","Quollosseum",60,16,"MulligansB_13_84B2F",31,0,34,65,130,15,0,17,21,9,4,68.4,0,100.943,121.462,95.953,54.993,0,817.464,197.379,53.231,131.876,51,275,86,1,1,1,"Good",0.825,"1-2yrs",52.7,84.7,"F","Black",3,1,148.383333333333,176.05
"11","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_16",14,"5597A","2","Quollosseum",60,22,"MulligansB_16_5597A",15,2,2,47,85,0,0,4,6,8,5,105.08,35.88,1.44,167.312,81.79,0,0,805.637,80.034,111.232,203.075,23,151,86,1,1,1,"Good",0.66,"<1yr",46.9,75.9,"F","Black",3,0,88.4166666666667,126.583333333333
"12","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_17",14,"67D6E","2","Quollympia",60,1,"MulligansB_17_67D6E",3,1,7,10,20,1,0,2,2,1,1,3.36,9,40.519,29.755,21.397,17.319,0,1023.318,49.558,19.319,107.8,6,42,86,1,1,1,"Good",1.16,"2-3yrs",52.25,94.5,"F","Black",3,2,278.833333333333,122
"13","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_18",14,"53326","2","Aquollpolis",6.00000000000094,0,"MulligansB_18_53326",5,4,74,55,98,35,0,11,21,23,12,5.08,71.88,156.965,67.929,86.787,122.063,0,614.79,157.5,180.057,247.508,67,271,86,1,1,1,"Good",1.19,"1-2yrs",52.55,96.9,"F","Black",3,1,271.883333333333,117.35
"14","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_3",15,"53527","2","Aquollpolis",1.99999999999392,0,"MulligansB_3_53527",12,0,17,27,43,13,0,3,6,9,6,13.719,0,57.267,90.268,48.55,53.036,0,166.397,67.954,146.431,819.195,24,112,86,1,1,1,"Good",0.9,"1-2yrs",56.25,88.2,"F","Black",3,1,57.7333333333333,398.183333333333
"15","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_4",15,"5CB85","2","Quollosseum",60,0,"MulligansB_4_5CB85",9,0,11,39,50,4,0,6,8,6,3,2.52,0,31.676,248.303,31.633,16.36,0,971.595,53.672,57.154,117.557,23,113,86,1,1,1,"Good",0.94,"1-2yrs",51.9,91.3,"F","Black",3,1,91.4166666666667,350.733333333333
"16","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_5",15,"71872","2","Quollympia",60,31,"MulligansB_5_71872",19,1,83,107,129,46,0,4,13,27,17,89.919,2,200.04,182.445,102.837,385.89,0,217.996,222.667,327.054,432.223,61,385,86,1,2,1,"Good",0.6,"1-2yrs",50.35,80.2,"F","Black",3,1,100.416666666667,346.566666666667
"17","Mulligans Flat","MFBehavAssaysSUMB","MulligansB_6",15,"88B4C","2","Aquollpolis",60,24,"MulligansB_6_88B4C",2,1,0,3,7,0,0,1,0,0,0,42,34.24,0,74.08,8.16,0,0,1200,0,0,0,1,13,86,1,1,1,"Good",1.365,"1-2yrs",56.65,92.6,"F","Black",3,1,117.9,342.1
