FID,type,ident,Latitude,Longitude,y_proj,x_proj,comment,NEAR_DIST,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheigh,desc,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,dir
0,WAYPOINT,G1,-35.212119,149.178981,6101258.093,698337.2926, ,322.7832175, ,"Flag, Blue",0, , ,637.29,0,0,2022/02/07 00:58:28, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 11:58:28,0,0, , ,0,0,0,0,0,0, 
1,WAYPOINT,G2,-35.209985,149.174067,6101504.615,697895.1148, ,401.2531688, ,"Flag, Blue",0, , ,625.19,0,0,2022/02/07 01:02:23, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:02:23,0,0, , ,0,0,0,0,0,0, 
2,WAYPOINT,G3,-35.206141,149.17215,6101934.837,697729.9157, ,213.66395, ,"Flag, Blue",0, , ,632.45,0,0,2022/02/07 01:07:44, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:07:44,0,0, , ,0,0,0,0,0,0, 
3,WAYPOINT,G4,-35.206584,149.175565,6101878.892,698039.7559, ,286.7325571, ,"Flag, Blue",0, , ,650.65,0,0,2022/02/07 01:10:36, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:10:36,0,0, , ,0,0,0,0,0,0, 
4,WAYPOINT,G5,-35.204731,149.170552,6102094.424,697587.8444, ,213.66395, ,"Flag, Blue",0, , ,617.52,0,0,2022/02/07 01:17:23, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:17:23,0,0, , ,0,0,0,0,0,0, 
5,WAYPOINT,G6,-35.204434,149.173698,6102121.106,697874.9958, ,236.102714, ,"Flag, Blue",0, , ,630.09,0,0,2022/02/07 01:25:38, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:25:38,0,0, , ,0,0,0,0,0,0, 
6,WAYPOINT,G7,-35.204649,149.177652,6102089.372,698234.47,???????,246.0460594, ,"Flag, Blue",0, , ,656.52,0,0,2022/02/07 01:31:53, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:31:53,0,0, , ,0,0,0,0,0,0, 
7,WAYPOINT,G8,-35.202457,149.177243,6102333.341,698202.5614, ,246.0460594, ,"Flag, Blue",0, , ,634.07,0,0,2022/02/07 01:34:26, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:34:26,0,0, , ,0,0,0,0,0,0, 
8,WAYPOINT,G9,-35.201998,149.174009,6102390.704,697909.2247, ,271.7625457, ,"Flag, Blue",0, , ,625.11,0,0,2022/02/07 01:38:38, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:38:38,0,0, , ,0,0,0,0,0,0, 
9,WAYPOINT,G10,-35.202753,149.171054,6102312.839,697638.3447, ,224.1766809, ,"Flag, Blue",0, , ,618,0,0,2022/02/07 01:45:40, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:45:40,0,0, , ,0,0,0,0,0,0, 
10,WAYPOINT,G11,-35.200669,149.169186,6102547.725,697473.3145, ,254.526228, ,"Flag, Blue",0, , ,615.74,0,0,2022/02/07 01:53:02, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:53:02,0,0, , ,0,0,0,0,0,0, 
11,WAYPOINT,G12,-35.197764,149.168214,6102871.899,697391.8461, ,235.8804124, ,"Flag, Blue",0, , ,626.02,0,0,2022/02/07 01:57:23, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:57:23,0,0, , ,0,0,0,0,0,0, 
12,WAYPOINT,G13,-35.19867,149.170557,6102766.741,697602.9891, ,235.8804124, ,"Flag, Blue",0, , ,620.13,0,0,2022/02/07 01:59:24, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 12:59:24,0,0, , ,0,0,0,0,0,0, 
13,WAYPOINT,G14,-35.198724,149.17433,6102753.239,697946.3998, ,212.5113685, ,"Flag, Blue",0, , ,628.11,0,0,2022/02/07 02:03:19, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:03:19,0,0, , ,0,0,0,0,0,0, 
14,WAYPOINT,G15,-35.198854,149.176658,6102734.177,698158.0546, ,212.5113685, ,"Flag, Blue",0, , ,636.2,0,0,2022/02/07 02:06:44, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:06:44,0,0, , ,0,0,0,0,0,0, 
15,WAYPOINT,G16,-35.199514,149.181535,6102651.226,698600.5106, ,197.2391195, ,"Flag, Blue",0, , ,651.51,0,0,2022/02/07 02:10:06, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:10:06,0,0, , ,0,0,0,0,0,0, 
16,WAYPOINT,G66,-35.191904,149.180587,6103497.275,698532.7196, ,156.2872206, ,"Flag, Ylw",0, , ,654.2,0,0,2022/02/07 02:14:46, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:14:46,0,0, , ,0,0,0,0,0,0, 
17,WAYPOINT,G65,-35.19189,149.175384,6103509.213,698058.9665, ,274.4927358, ,"Flag, Ylw",0, , ,728.61,0,0,2022/02/07 02:20:41, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:20:41,0,0, , ,0,0,0,0,0,0, 
18,WAYPOINT,G45,-35.194637,149.168074,6103219.045,697386.6674, ,347.1844705, ,"Flag, Grn",0, , ,645.35,0,0,2022/02/07 02:52:42, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:52:42,0,0, , ,0,0,0,0,0,0, 
19,WAYPOINT,G46,-35.191498,149.168142,6103567.109,697400.4569, ,326.2577713, ,"Flag, Grn",0, , ,642.08,0,0,2022/02/07 02:55:13, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 13:55:13,0,0, , ,0,0,0,0,0,0, 
20,WAYPOINT,G47,-35.187383,149.167524,6104024.799,697354.1376, ,236.4742346, ,"Flag, Grn",0, , ,633.51,0,0,2022/02/07 03:05:09, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 14:05:09,0,0, , ,0,0,0,0,0,0, 
21,WAYPOINT,G48,-35.18345,149.163195,6104469.662,696969.4123, ,315.5794461, ,"Flag, Grn",0, , ,634.18,0,0,2022/02/07 03:08:28, , , , , , , , , , , , , ,garmin eTrex 10 Sof, ,2022/02/07 14:08:28,0,0, , ,0,0,0,0,0,0, 
