x,y,point_ID,Poly_code,Plot_ID,Poly_num,Plot_num
698189.36968500000,6104635.25256999000,a,WG,WG63A/2,63A,2
698220.53905699900,6104730.27082999000,b,WG,WG63A/2,63A,2
698307.32326300000,6104543.18687000000,a,WG,WG63A/4,63A,4
698393.60402500000,6104593.74010999000,b,WG,WG63A/4,63A,4
698272.69937399900,6104645.98220000000,a,WG,WG63A/3,63A,3
698308.24234000000,6104739.45249999000,b,WG,WG63A/3,63A,3
698140.43630900000,6104553.64245999000,a,WG,WG63A/1,63A,1
698055.89761800000,6104607.05790000000,b,WG,WG63A/1,63A,1
698785.16198600000,6104381.96939000000,a,WG,WG152/1,152,1
698783.77562500000,6104481.95978000000,b,WG,WG152/1,152,1
698867.76705799900,6104394.26528999000,a,WG,WG152/3,152,3
698878.10890300000,6104493.72908000000,b,WG,WG152/3,152,3
699052.11600000000,6104282.59238000000,a,WG,WG152/4,152,4
699046.40381100000,6104382.42910000000,b,WG,WG152/4,152,4
698842.82986099900,6104253.54526000000,a,WG,WG152/2,152,2
698933.74401599900,6104295.19398999000,b,WG,WG152/2,152,2
698543.69202399900,6103087.52914000000,a,WG,WG92/2,92,2
698554.26240300000,6103186.96891000000,b,WG,WG92/2,92,2
698641.85851299900,6103042.67513999000,a,WG,WG92/3,92,3
698663.57962900000,6103140.28760000000,b,WG,WG92/3,92,3
698754.42007100000,6103051.97936999000,a,WG,WG92/4,92,4
698785.58134899900,6103147.00028999000,b,WG,WG92/4,92,4
698632.41523399900,6102944.98381000000,a,WG,WG92/1,92,1
698534.32670199900,6102964.44247999000,b,WG,WG92/1,92,1
698948.40093200000,6102765.75086999000,a,WG,WG148/2,148,2
698848.55856300000,6102771.36345999000,b,WG,WG148/2,148,2
698930.09720500000,6102553.15357999000,a,WG,WG148/4,148,4
699028.03451999900,6102532.94758000000,b,WG,WG148/4,148,4
699049.77533900000,6102649.63544999000,a,WG,WG148/3,148,3
698952.28314900000,6102671.89018000000,b,WG,WG148/3,148,3
698812.69436700000,6102573.44132999000,a,WG,WG148/1,148,1
698799.52951899900,6102672.57096999000,b,WG,WG148/1,148,1
698441.66174899900,6101626.00923000000,a,GO,GO154B/1,154B,1
698446.26858499900,6101526.11539999000,b,GO,GO154B/1,154B,1
698746.59053799900,6102147.33559000000,a,GO,GO154B/4,154B,4
698718.43620400000,6102243.29043999000,b,GO,GO154B/4,154B,4
698598.65381199900,6101965.89534999000,a,GO,GO154B/3,154B,3
698623.34982600000,6102062.79791999000,b,GO,GO154B/3,154B,3
698528.56995200000,6102273.72716999000,a,GO,GO154B/2,154B,2
698530.62061999900,6102373.70615000000,b,GO,GO154B/2,154B,2
698807.41931599900,6101367.69778000000,a,WG,WG139/1,139,1
698715.40255400000,6101328.54531999000,b,WG,WG139/1,139,1
698849.50321500000,6101198.70966999000,a,WG,WG139/3,139,3
698775.99628199900,6101130.91046999000,b,WG,WG139/3,139,3
698802.68714099900,6101576.63207000000,a,WG,WG139/4,139,4
698807.29397700000,6101476.73823999000,b,WG,WG139/4,139,4
698735.23474300000,6101606.32213999000,a,WG,WG139/2,139,2
698715.97218100000,6101508.19491000000,b,WG,WG139/2,139,2
699587.49058999900,6103817.65261999000,a,GO,GO74A/1,74A,1
699629.96266500000,6103908.18506000000,b,GO,GO74A/1,74A,1
699648.31826199900,6103790.55229000000,a,GO,GO74A/2,74A,2
699688.71915599900,6103882.02778999000,b,GO,GO74A/2,74A,2
699753.92957100000,6103853.61644000000,a,GO,GO74A/3,74A,3
699715.65185400000,6103761.23237000000,b,GO,GO74A/3,74A,3
699816.06387700000,6103823.14192999000,a,GO,GO74A/4,74A,4
699778.44810000000,6103730.48637000000,b,GO,GO74A/4,74A,4
699203.81452699900,6103779.94723000000,a,GO,GO53A/4,53A,4
699188.75463900000,6103681.08774000000,b,GO,GO53A/4,53A,4
699102.92832099900,6103677.14606000000,a,GO,GO53A/3,53A,3
699122.18924900000,6103775.27360999000,b,GO,GO53A/3,53A,3
699031.15055599900,6103721.20064000000,a,GO,GO53A/2,53A,2
699048.56553799900,6103819.67255000000,b,GO,GO53A/2,53A,2
698984.67242299900,6103579.41153999000,a,GO,GO53A/1,53A,1
699083.02113300000,6103561.31372000000,b,GO,GO53A/1,53A,1
699095.36541199900,6103467.65778000000,a,GO,GO75A/2,75A,2
699194.71093199900,6103479.08002000000,b,GO,GO75A/2,75A,2
699014.21629500000,6103345.11543000000,a,GO,GO75A/1,75A,1
698979.75063100000,6103251.24254000000,b,GO,GO75A/1,75A,1
699346.14730299900,6103565.47755999000,a,GO,GO75A/5,75A,4
699303.05854700000,6103475.23699999000,b,GO,GO75A/5,75A,4
699462.36584300000,6103672.28208999000,a,GO,GO75AZ/2,75AZ,2
699459.82741499900,6103572.31431000000,b,GO,GO75AZ/2,75AZ,2
699245.41675500000,6104833.26025999000,a,GO,GO72A/1,72A,1
699310.02327799900,6104909.58848000000,b,GO,GO72A/1,72A,1
699481.24506300000,6104562.96432000000,a,GO,GO72A/3,72A,3
699545.85158599900,6104639.29253999000,b,GO,GO72A/3,72A,3
699365.12972199900,6104727.39771999000,a,GO,GO72A/2,72A,2
699429.73624500000,6104803.72594000000,b,GO,GO72A/2,72A,2
699560.72118600000,6104499.07082999000,a,GO,GO72A/4,72A,4
699625.32770899900,6104575.39905000000,b,GO,GO72A/4,72A,4
698449.88933799900,6103419.66182000000,a,WG,WG150B/2,150B,2
698411.72648600000,6103512.09339999000,b,WG,WG150B/2,150B,2
698296.03565800000,6103632.98651999000,a,WG,WG150B/1,150B,1
698324.62668500000,6103537.16088000000,b,WG,WG150B/1,150B,1
698466.59982300000,6103722.37643999000,a,WG,WG150B/3,150B,3
698507.90440799900,6103631.30542000000,b,WG,WG150B/3,150B,3
698618.15574500000,6103992.22706000000,a,WG,WG150B/4,150B,4
698649.02496499900,6103897.11086000000,b,WG,WG150B/4,150B,4
698242.96653600000,6104895.30236000000,a,WG,WG63/4,63,4
698338.66788299900,6104866.29801000000,b,WG,WG63/4,63,4
698209.58289399900,6105140.26886999000,a,WG,WG63/3,63,3
698297.26776199900,6105092.19221999000,b,WG,WG63/3,63,3
698145.22396700000,6105052.21318000000,a,WG,WG63/2,63,2
698239.75685400000,6105019.60132000000,b,WG,WG63/2,63,2
698156.00461099900,6104953.30267000000,a,WG,WG63/1,63,1
698082.17845300000,6104885.85121999000,b,WG,WG63/1,63,1
698910.79708399900,6104851.97515999000,a,WG,WG76/1,76,1
698813.53886400000,6104828.71922000000,b,WG,WG76/1,76,1
699475.69499500000,6104379.81421000000,a,WG,WG76/3,76,3
699504.94865100000,6104284.18876999000,b,WG,WG76/3,76,3
699369.97915699900,6103991.23385000000,a,WG,WG76/4,76,4
699432.36727100000,6103913.08191999000,b,WG,WG76/4,76,4
699028.30616699900,6104682.00256999000,a,WG,WG76/2,76,2
699015.54048600000,6104582.82072999000,b,WG,WG76/2,76,2
697769.36560100000,6103895.58107999000,a,WG,WG81/1,81,1
697816.58284799900,6103983.73168999000,b,WG,WG81/1,81,1
697944.37986099900,6104099.30893000000,a,WG,WG81/4,81,4
697990.88244900000,6104187.83863999000,b,WG,WG81/4,81,4
697913.10449900000,6103926.17887999000,a,WG,WG81/3,81,3
697982.05326299900,6103998.60862000000,b,WG,WG81/3,81,3
697861.60183599900,6104138.67667000000,a,WG,WG81/2,81,2
697910.36138200000,6104225.98362999000,b,WG,WG81/2,81,2
699297.61015800000,6102539.19278999000,a,GO,GO94A/3,94A,3
699293.46522999900,6102639.10685000000,b,GO,GO94A/3,94A,3
699297.29913499900,6102775.23854999000,a,GO,GO94A/2,94A,2
699387.07278599900,6102819.29184000000,b,GO,GO94A/2,94A,2
699384.88180500000,6102691.99254999000,a,GO,GO94A/4,94A,4
699450.50505899900,6102767.44842000000,b,GO,GO94A/4,94A,4
699230.87912900000,6102565.17100000000,a,GO,GO94A/1,94A,1
699225.92189000000,6102665.04805999000,b,GO,GO94A/1,94A,1
