x,y
698189.369685121000,6104635.252568040000
698307.323263336000,6104543.186871190000
698272.699374046000,6104645.982197230000
698140.436308798000,6104553.642455740000
698785.161986113000,6104381.969393940000
698867.767057753000,6104394.265288690000
699052.116000353000,6104282.592377390000
698842.829861047000,6104253.545260960000
698543.692023501000,6103087.529141590000
698641.858512847000,6103042.675137930000
698754.420070930000,6103051.979370360000
698632.415234157000,6102944.983812860000
698948.400932421000,6102765.750872790000
698930.097205172000,6102553.153575980000
699049.775338644000,6102649.635449670000
698812.694367090000,6102573.441326580000
698441.661749235000,6101626.009227350000
698746.590537919000,6102147.335586960000
698598.653811717000,6101965.895351960000
698528.569952408000,6102273.727173780000
698807.419316256000,6101367.697783980000
698830.573212941000,6101246.340743930000
698802.687141230000,6101576.632069500000
698735.234743363000,6101606.322137810000
699587.490589892000,6103817.652622560000
699648.318261808000,6103790.552291380000
699753.929571166000,6103853.616437010000
699816.063876709000,6103823.141934870000
699203.814526831000,6103779.947231340000
699102.928320859000,6103677.146056270000
699031.150556294000,6103721.200636230000
698984.672423202000,6103579.411543230000
699095.365412081000,6103467.657783700000
699014.216294755000,6103345.115425800000
699346.147302842000,6103565.477557730000
699462.365842919000,6103672.282089800000
699245.416754816000,6104833.260257270000
699481.245063010000,6104562.964315390000
699365.129721808000,6104727.397719110000
699560.721185824000,6104499.070825770000
698449.889338210000,6103419.661822000000
698296.035658074000,6103632.986520490000
698466.599823300000,6103722.376439290000
698618.155744965000,6103992.227058820000
698242.966536184000,6104895.302356760000
698209.582894081000,6105140.268869000000
698145.223967197000,6105052.213175070000
698156.004611026000,6104953.302674140000
698910.797083833000,6104851.975160110000
699475.694995339000,6104379.814208580000
699369.979156999000,6103991.233848090000
699028.306166980000,6104682.002572140000
697769.365600713000,6103895.581075900000
697944.379861400000,6104099.308928700000
697913.104498521000,6103926.178878660000
697861.601835653000,6104138.676665610000
699297.610158206000,6102539.192787360000
699297.299135094000,6102775.238554770000
699384.881805094000,6102691.992549910000
699230.879129130000,6102565.171002600000
699445.442409331000,6101901.801756110000
699542.335288068000,6102239.339719770000
699567.430521721000,6102170.288661130000
699595.549672351000,6102094.612863820000
698917.797408920000,6101958.111253250000
699239.235820039000,6102340.586143910000
698887.419686023000,6101855.031930450000
698907.250032667000,6102219.836631330000
698180.567590503000,6102301.844184620000
698307.954920690000,6102153.339785510000
698153.766294064000,6102125.855853540000
698210.244650508000,6102193.723221320000
698975.026600551000,6104037.568470260000
698788.493513735000,6104069.936769140000
698892.118211047000,6104049.600780750000
698813.904306206000,6103579.877438870000
698235.424199546000,6104056.670556370000
698321.081435048000,6104248.619135610000
698333.453297487000,6104058.052150680000
698172.166835440000,6104086.812282180000
699075.431838039000,6102912.076278580000
699052.835767725000,6103114.270174630000
699346.093657628000,6102964.165081300000
699114.977593778000,6102961.009956860000
699838.350169426000,6103517.111973010000
699796.367697530000,6103581.852697660000
699624.113630692000,6103692.578741980000
699916.815414674000,6103902.428979120000
699528.702797239000,6103634.330202640000
699599.306042847000,6103496.105436170000
699131.514715418000,6103375.594894970000
699408.932055578000,6103408.501648690000
698067.710324259000,6102345.195513560000
697774.686455919000,6102229.252891700000
697692.386471807000,6102318.678844990000
697897.843369838000,6102347.039119290000
698220.539056539000,6104730.270830940000
698393.604024986000,6104593.740112130000
698308.242340234000,6104739.452500290000
698055.897617516000,6104607.057899910000
698783.775624929000,6104481.959783490000
698878.108902817000,6104493.729082310000
699046.403811245000,6104382.429098570000
698933.744015517000,6104295.193988640000
698554.262403143000,6103186.968907650000
698663.579629227000,6103140.287601800000
698785.581349183000,6103147.000287720000
698534.326701507000,6102964.442480920000
698848.558562597000,6102771.363464710000
699028.034520022000,6102532.947577860000
698952.283149343000,6102671.890180070000
698799.529519174000,6102672.570972900000
698446.268584877000,6101526.115398380000
698718.436204168000,6102243.290438280000
698623.349825589000,6102062.797915910000
698530.620620212000,6102373.706145380000
698715.402554426000,6101328.545318640000
698731.007638492000,6101237.029654590000
698807.293976872000,6101476.738240530000
698715.972181216000,6101508.194905620000
699629.962665483000,6103908.185063130000
699688.719155842000,6103882.027794990000
699715.651853606000,6103761.232367290000
699778.448100001000,6103730.486371930000
699188.754638815000,6103681.087736230000
699122.189248553000,6103775.273609310000
699048.565537877000,6103819.672553130000
699083.021132996000,6103561.313717890000
699194.710932405000,6103479.080024780000
698979.750631470000,6103251.242543380000
699303.058546805000,6103475.236995320000
699459.827415429000,6103572.314313060000
699310.023277582000,6104909.588477580000
699545.851585776000,6104639.292535700000
699429.736244574000,6104803.725939420000
699625.327708590000,6104575.399046080000
698411.726485846000,6103512.093400470000
698324.626685370000,6103537.160881130000
698507.904407588000,6103631.305415820000
698649.024964990000,6103897.110860130000
698338.667882626000,6104866.298007270000
698297.267762101000,6105092.192222690000
698239.756853587000,6105019.601315410000
698082.178453485000,6104885.851221500000
698813.538864391000,6104828.719219990000
699504.948651190000,6104284.188774620000
699432.367271270000,6103913.081924260000
699015.540485842000,6104582.820732140000
697816.582848240000,6103983.731694370000
697990.882448828000,6104187.838637620000
697982.053262639000,6103998.608623430000
697910.361382327000,6104225.983633300000
699293.465230383000,6102639.106848310000
699387.072785562000,6102819.291837070000
699450.505058686000,6102767.448421700000
699225.921890018000,6102665.048055930000
699408.215810699000,6101808.989147300000
699446.815974418000,6102209.741396860000
699472.379443869000,6102139.219502800000
699500.416472024000,6102063.796079510000
698967.298559093000,6101871.222611120000
699157.000594134000,6102283.688273830000
698842.224261006000,6101944.236042230000
698915.421678441000,6102120.171069540000
698272.455233178000,6102262.389639590000
698244.907296934000,6102075.718930450000
698063.920815316000,6102169.762458380000
698119.167494952000,6102235.014282530000
698951.477934568000,6103940.380712130000
698785.534259051000,6103969.980564670000
698872.888617353000,6103951.467082520000
698778.329409982000,6103486.419283760000
698254.086534108000,6104154.913710180000
698301.234793440000,6104346.629904490000
698368.449118605000,6104151.728681910000
698189.263686615000,6104185.339931500000
699171.133905551000,6102883.074308410000
699122.682938680000,6103042.706407890000
699249.371009895000,6102989.556603810000
699210.563617791000,6102931.627785160000
699759.300461014000,6103455.865392700000
699715.490263378000,6103523.040788620000
699714.032369277000,6103648.822365860000
699928.185169395000,6103803.077438230000
699529.856030556000,6103534.336852590000
699599.905017959000,6103396.107230040000
699184.982331330000,6103291.089190730000
699312.546420693000,6103381.859400520000
697982.861737020000,6102292.273710450000
697678.781232232000,6102257.575816510000
697787.854903945000,6102288.916814380000
697877.740404074000,6102249.080603740000
