x,y,point_ID
698189.3696851210,6104635.2525680400,a
698307.3232633360,6104543.1868711900,a
698272.6993740460,6104645.9821972300,a
698140.4363087980,6104553.6424557400,a
698785.1619861130,6104381.9693939400,a
698867.7670577530,6104394.2652886900,a
699052.1160003530,6104282.5923773900,a
698842.8298610470,6104253.5452609600,a
698543.6920235010,6103087.5291415900,a
698641.8585128470,6103042.6751379300,a
698754.4200709300,6103051.9793703600,a
698632.4152341570,6102944.9838128600,a
698948.4009324210,6102765.7508727900,a
698930.0972051720,6102553.1535759800,a
699049.7753386440,6102649.6354496700,a
698812.6943670900,6102573.4413265800,a
698441.6617492350,6101626.0092273500,a
698746.5905379190,6102147.3355869600,a
698598.6538117170,6101965.8953519600,a
698528.5699524080,6102273.7271737800,a
698807.4193162560,6101367.6977839800,a
698849.5032154030,6101198.7096678100,a
698802.6871412300,6101576.6320695000,a
698735.2347433630,6101606.3221378100,a
699587.4905898920,6103817.6526225600,a
699648.3182618080,6103790.5522913800,a
699753.9295711660,6103853.6164370100,a
699816.0638767090,6103823.1419348700,a
699203.8145268310,6103779.9472313400,a
699102.9283208590,6103677.1460562700,a
699031.1505562940,6103721.2006362300,a
698984.6724232020,6103579.4115432300,a
699095.3654120810,6103467.6577837000,a
699014.2162947550,6103345.1154258000,a
699346.1473028420,6103565.4775577300,a
699462.3658429190,6103672.2820898000,a
699245.4167548160,6104833.2602572700,a
699481.2450630100,6104562.9643153900,a
699365.1297218080,6104727.3977191100,a
699560.7211858240,6104499.0708257700,a
698449.8893382100,6103419.6618220000,a
698296.0356580740,6103632.9865204900,a
698466.5998233000,6103722.3764392900,a
698618.1557449650,6103992.2270588200,a
698242.9665361840,6104895.3023567600,a
698209.5828940810,6105140.2688690000,a
698145.2239671970,6105052.2131750700,a
698156.0046110260,6104953.3026741400,a
698910.7970838330,6104851.9751601100,a
699475.6949953390,6104379.8142085800,a
699369.9791569990,6103991.2338480900,a
699028.3061669800,6104682.0025721400,a
697769.3656007130,6103895.5810759000,a
697944.3798614000,6104099.3089287000,a
697913.1044985210,6103926.1788786600,a
697861.6018356530,6104138.6766656100,a
699297.6101582060,6102539.1927873600,a
699297.2991350940,6102775.2385547700,a
699384.8818050940,6102691.9925499100,a
699230.8791291300,6102565.1710026000,a
699445.4424093310,6101901.8017561100,a
699542.3352880680,6102239.3397197700,a
699567.4305217210,6102170.2886611300,a
699595.5496723510,6102094.6128638200,a
698917.7974089200,6101958.1112532500,a
699239.2358200390,6102340.5861439100,a
698887.4196860230,6101855.0319304500,a
698907.2500326670,6102219.8366313300,a
698180.5675905030,6102301.8441846200,a
698307.9549206900,6102153.3397855100,a
698153.7662940640,6102125.8558535400,a
698210.2446505080,6102193.7232213200,a
698975.0266005510,6104037.5684702600,a
698788.4935137350,6104069.9367691400,a
698892.1182110470,6104049.6007807500,a
698813.9043062060,6103579.8774388700,a
698235.4241995460,6104056.6705563700,a
698321.0814350480,6104248.6191356100,a
698333.4532974870,6104058.0521506800,a
698172.1668354400,6104086.8122821800,a
699075.4318380390,6102912.0762785800,a
699052.8357677250,6103114.2701746300,a
699346.0936576280,6102964.1650813000,a
699114.9775937780,6102961.0099568600,a
699838.3501694260,6103517.1119730100,a
699796.3676975300,6103581.8526976600,a
699624.1136306920,6103692.5787419800,a
699916.8154146740,6103902.4289791200,a
699528.7027972390,6103634.3302026400,a
699599.3060428470,6103496.1054361700,a
699131.5147154180,6103375.5948949700,a
699408.9320555780,6103408.5016486900,a
698067.7103242590,6102345.1955135600,b
697774.6864559190,6102229.2528917000,b
697692.3864718070,6102318.6788449900,b
697897.8433698380,6102347.0391192900,b
698220.5390565390,6104730.2708309400,b
698393.6040249860,6104593.7401121300,b
698308.2423402340,6104739.4525002900,b
698055.8976175160,6104607.0578999100,b
698783.7756249290,6104481.9597834900,b
698878.1089028170,6104493.7290823100,b
699046.4038112450,6104382.4290985700,b
698933.7440155170,6104295.1939886400,b
698554.2624031430,6103186.9689076500,b
698663.5796292270,6103140.2876018000,b
698785.5813491830,6103147.0002877200,b
698534.3267015070,6102964.4424809200,b
698848.5585625970,6102771.3634647100,b
699028.0345200220,6102532.9475778600,b
698952.2831493430,6102671.8901800700,b
698799.5295191740,6102672.5709729000,b
698446.2685848770,6101526.1153983800,b
698718.4362041680,6102243.2904382800,b
698623.3498255890,6102062.7979159100,b
698530.6206202120,6102373.7061453800,b
698715.4025544260,6101328.5453186400,b
698775.9962824830,6101130.9104730300,b
698807.2939768720,6101476.7382405300,b
698715.9721812160,6101508.1949056200,b
699629.9626654830,6103908.1850631300,b
699688.7191558420,6103882.0277949900,b
699715.6518536060,6103761.2323672900,b
699778.4481000010,6103730.4863719300,b
699188.7546388150,6103681.0877362300,b
699122.1892485530,6103775.2736093100,b
699048.5655378770,6103819.6725531300,b
699083.0211329960,6103561.3137178900,b
699194.7109324050,6103479.0800247800,b
698979.7506314700,6103251.2425433800,b
699303.0585468050,6103475.2369953200,b
699459.8274154290,6103572.3143130600,b
699310.0232775820,6104909.5884775800,b
699545.8515857760,6104639.2925357000,b
699429.7362445740,6104803.7259394200,b
699625.3277085900,6104575.3990460800,b
698411.7264858460,6103512.0934004700,b
698324.6266853700,6103537.1608811300,b
698507.9044075880,6103631.3054158200,b
698649.0249649900,6103897.1108601300,b
698338.6678826260,6104866.2980072700,b
698297.2677621010,6105092.1922226900,b
698239.7568535870,6105019.6013154100,b
698082.1784534850,6104885.8512215000,b
698813.5388643910,6104828.7192199900,b
699504.9486511900,6104284.1887746200,b
699432.3672712700,6103913.0819242600,b
699015.5404858420,6104582.8207321400,b
697816.5828482400,6103983.7316943700,b
697990.8824488280,6104187.8386376200,b
697982.0532626390,6103998.6086234300,b
