	POLY_CODE	PLOT_ID	POLY_NUM	PLOT_NUM	SURVEY_PT_	ID	X	Y	POINT_X	POINT_Y
17	GO	GO72A/1	72A	1	a	GO72A/1a	699245.41680000000	6104833.25999999000	149.18808699020	-35.17972483918
113	GO	GO72A/1	72A	1	b	GO72A/1b	699310.02330000000	6104909.58800000000	149.18877758386	-35.17902426301
19	GO	GO72A/2	72A	2	a	GO72A/2a	699365.12970000000	6104727.39800000000	149.18942639876	-35.18065496373
115	GO	GO72A/2	72A	2	b	GO72A/2b	699429.73620000000	6104803.72599999000	149.19011698794	-35.17995438014
18	GO	GO72A/3	72A	3	a	GO72A/3a	699481.24509999900	6104562.96399999000	149.19074052383	-35.18211355322
114	GO	GO72A/3	72A	3	b	GO72A/3b	699545.85160000000	6104639.29299999000	149.19143111275	-35.18141295324
20	GO	GO72A/4	72A	4	a	GO72A/4a	699560.72120000000	6104499.07100000000	149.19162823951	-35.18267347708
116	GO	GO72A/4	72A	4	b	GO72A/4b	699625.32770000000	6104575.39900000000	149.19231882524	-35.18197288121
79	MF	MF11A/1	11A	1	a	MF11A/1a	695906.62829999900	6106427.80499999000	149.15106540081	-35.16601341873
175	MF	MF11A/1	11A	1	b	MF11A/1b	696004.14110000000	6106405.63999999000	149.15214068897	-35.16619413030
78	MF	MF11A/2	11A	2	a	MF11A/2a	695845.54449999900	6106498.73799999000	149.15037828489	-35.16538615920
174	MF	MF11A/2	11A	2	b	MF11A/2b	695945.38249999900	6106493.04700000000	149.15147516684	-35.16541797967
80	MF	MF11A/3	11A	3	a	MF11A/3a	695942.97389999900	6106580.09599999000	149.15142807018	-35.16463406636
176	MF	MF11A/3	11A	3	b	MF11A/3b	696029.38939999900	6106630.41799999000	149.15236435323	-35.16416377292
77	MF	MF11A/4	11A	4	a	MF11A/4a	696066.06099999900	6106517.38200000000	149.15279360037	-35.16517516604
173	MF	MF11A/4	11A	4	b	MF11A/4b	696164.18500000000	6106498.10300000000	149.15387490116	-35.16532973806
87	MF	MF16A/1	16A	1	a	MF16A/1a	696824.08790000000	6107075.42300000000	149.16097836509	-35.15999862361
183	MF	MF16A/1	16A	1	b	MF16A/1b	696729.46869999900	6107107.78400000000	149.15993246348	-35.15972554796
88	MF	MF16A/2	16A	2	a	MF16A/2a	696858.94140000000	6107259.27799999000	149.16131694619	-35.15833512346
184	MF	MF16A/2	16A	2	b	MF16A/2b	696779.28619999900	6107319.73500000000	149.16042855416	-35.15780595415
85	MF	MF16A/3	16A	3	a	MF16A/3a	696890.24159999900	6107337.60699999000	149.16164169394	-35.15762318902
181	MF	MF16A/3	16A	3	b	MF16A/3b	696810.44799999900	6107397.88200000000	149.16075183280	-35.15709568889
86	MF	MF16A/4	16A	4	a	MF16A/4a	696899.50859999900	6107155.22300000000	149.16178686930	-35.15926479411
182	MF	MF16A/4	16A	4	b	MF16A/4b	696803.51580000000	6107183.24799999000	149.16072693720	-35.15903106481
91	MF	MF19A/1	19A	1	a	MF19A/1a	696307.76740000000	6106601.00000000000	149.15542596318	-35.16437451891
187	MF	MF19A/1	19A	1	b	MF19A/1b	696384.43420000000	6106665.20399999000	149.15625194460	-35.16378101249
90	MF	MF19A/2	19A	2	a	MF19A/2a	696575.18779999900	6106710.36899999000	149.15833429305	-35.16333675084
92	MF	MF19A/2	19A	2	a	MF19A/2a	696770.83900000000	6106891.80700000000	149.16043787115	-35.16166357056
186	MF	MF19A/2	19A	2	b	MF19A/2b	696670.45810000000	6106679.97900000000	149.15938691169	-35.16359195102
188	MF	MF19A/2	19A	2	b	MF19A/2b	696702.87089999900	6106818.45600000000	149.15970956944	-35.16233782315
89	MF	MF19A/4	19A	4	a	MF19A/4a	696836.75240000000	6106500.52300000000	149.16125442023	-35.16517643325
185	MF	MF19A/4	19A	4	b	MF19A/4b	696759.70700000000	6106436.77400000000	149.16042420055	-35.16576594710
49	MF	MF22A/1	22A	1	a	MF22A/1a	697719.61549999900	6106595.08700000000	149.17091936631	-35.16415104803
145	MF	MF22A/1	22A	1	b	MF22A/1b	697797.09019999900	6106658.31400000000	149.17175432619	-35.16356608449
52	MF	MF22A/2	22A	2	a	MF22A/2a	697779.46429999900	6106539.08100000000	149.17158949440	-35.16464392603
148	MF	MF22A/2	22A	2	b	MF22A/2b	697856.12170000000	6106603.29700000000	149.17241524896	-35.16405020721
