GPS_ID,PLOT_ID,LAT,LONG,POLY_CODE,POINT_ID,POLY_NUM,PLOT_NUM,FID_1,ID
1,WG63A/2/a,149.17654,-35.18172,WG,a,63A,2,0,0
2,WG63A/2/b,149.17686,-35.18086,WG,b,63A,2,96,0
3,WG63A/4/a,149.17786,-35.18252,WG,a,63A,4,1,1
4,WG63A/4/b,149.17880,-35.18205,WG,b,63A,4,97,1
5,WG63A/3/a,149.17746,-35.18160,WG,a,63A,3,2,2
6,WG63A/3/b,149.17782,-35.18076,WG,b,63A,3,98,2
7,WG63A/1/a,149.17603,-35.18246,WG,a,63A,1,3,3
8,WG63A/1/b,149.17509,-35.18200,WG,b,63A,1,99,3
9,WG152/1/a,149.18314,-35.18388,WG,a,152,1,4,4
10,WG152/1/b,149.18311,-35.18298,WG,b,152,1,100,4
11,WG152/3/a,149.18405,-35.18376,WG,a,152,3,5,5
12,WG152/3/b,149.18414,-35.18286,WG,b,152,3,101,5
13,WG152/4/a,149.18610,-35.18473,WG,a,152,4,6,6
14,WG152/4/b,149.18601,-35.18383,WG,b,152,4,102,6
15,WG152/2/a,149.18381,-35.18503,WG,a,152,2,7,7
16,WG152/2/b,149.18480,-35.18463,WG,b,152,2,103,7
17,WG92/2/a,149.18081,-35.19559,WG,a,92,2,8,8
18,WG92/2/b,149.18090,-35.19470,WG,b,92,2,104,8
19,WG92/3/a,149.18189,-35.19598,WG,a,92,3,9,9
20,WG92/3/b,149.18211,-35.19509,WG,b,92,3,105,9
21,WG92/4/a,149.18313,-35.19587,WG,a,92,4,10,10
22,WG92/4/b,149.18345,-35.19501,WG,b,92,4,106,10
23,WG92/1/a,149.18181,-35.19686,WG,a,92,1,11,11
24,WG92/1/b,149.18073,-35.19670,WG,b,92,1,107,11
25,WG148/2/a,149.18533,-35.19841,WG,a,148,2,12,12
26,WG148/2/b,149.18423,-35.19838,WG,b,148,2,108,12
27,WG148/4/a,149.18518,-35.20033,WG,a,148,4,13,13
28,WG148/4/b,149.18626,-35.20050,WG,b,148,4,109,13
29,WG148/3/a,149.18647,-35.19944,WG,a,148,3,14,14
30,WG148/3/b,149.18539,-35.19926,WG,b,148,3,110,14
31,WG148/1/a,149.18388,-35.20017,WG,a,148,1,15,15
32,WG148/1/b,149.18371,-35.19928,WG,b,148,1,111,15
33,GO72A/1/a,149.18809,-35.17972,GO,a,72A,1,16,16
34,GO72A/1/b,149.18878,-35.17902,GO,b,72A,1,112,16
35,GO72A/3/a,149.19074,-35.18211,GO,a,72A,3,17,17
36,GO72A/3/b,149.19143,-35.18141,GO,b,72A,3,113,17
37,GO72A/2/a,149.18943,-35.18065,GO,a,72A,2,18,18
38,GO72A/2/b,149.19012,-35.17995,GO,b,72A,2,114,18
39,GO72A/4/a,149.19163,-35.18267,GO,a,72A,4,19,19
40,GO72A/4/b,149.19232,-35.18197,GO,b,72A,4,115,19
41,WG63/4/a,149.17707,-35.17936,WG,a,63,4,20,20
42,WG63/4/b,149.17813,-35.17961,WG,b,63,4,116,20
43,WG63/3/a,149.17665,-35.17716,WG,a,63,3,21,21
44,WG63/3/b,149.17762,-35.17758,WG,b,63,3,117,21
45,WG63/2/a,149.17596,-35.17797,WG,a,63,2,22,22
46,WG63/2/b,149.17701,-35.17824,WG,b,63,2,118,22
47,WG63/1/a,149.17610,-35.17886,WG,a,63,1,23,23
48,WG63/1/b,149.17531,-35.17948,WG,b,63,1,119,23
49,WG76/1/a,149.18441,-35.17962,WG,a,76,1,24,24
50,WG76/1/b,149.18335,-35.17985,WG,b,76,1,120,24
51,WG76/3/a,149.19072,-35.18376,WG,a,76,3,25,25
52,WG76/3/b,149.19107,-35.18462,WG,b,76,3,121,25
53,WG76/4/a,149.18966,-35.18729,WG,a,76,4,26,26
54,WG76/4/b,149.19036,-35.18798,WG,b,76,4,122,26
55,WG76/2/a,149.18574,-35.18113,WG,a,76,2,27,27
56,WG76/2/b,149.18562,-35.18203,WG,b,76,2,123,27
57,WG81/1/a,149.17211,-35.18847,WG,a,81,1,28,28
58,WG81/1/b,149.17261,-35.18766,WG,b,81,1,124,28
59,WG81/4/a,149.17398,-35.18660,WG,a,81,4,29,29
60,WG81/4/b,149.17447,-35.18579,WG,b,81,4,125,29
61,WG81/3/a,149.17368,-35.18816,WG,a,81,3,30,30
62,WG81/3/b,149.17442,-35.18750,WG,b,81,3,126,30
63,WG81/2/a,149.17307,-35.18626,WG,a,81,2,31,31
64,WG81/2/b,149.17358,-35.18546,WG,b,81,2,127,31
65,WG109/3/a,149.17701,-35.20275,WG,a,109,3,32,32
66,WG109/3/b,149.17803,-35.20308,WG,b,109,3,128,32
67,WG109/4/a,149.17844,-35.20406,WG,a,109,4,33,33
68,WG109/4/b,149.17777,-35.20477,WG,b,109,4,129,33
69,WG109/1/a,149.17676,-35.20434,WG,a,109,1,34,34
70,WG109/1/b,149.17576,-35.20396,WG,b,109,1,130,34
71,WG109/2/a,149.17736,-35.20371,WG,a,109,2,35,35
72,WG109/2/b,149.17635,-35.20336,WG,b,109,2,131,35
73,WG150A/4/a,149.18531,-35.18695,WG,a,150A,4,36,36
74,WG150A/4/b,149.18508,-35.18783,WG,b,150A,4,132,36
75,WG150A/2/a,149.18326,-35.18669,WG,a,150A,2,37,37
76,WG150A/2/b,149.18325,-35.18759,WG,b,150A,2,133,37
77,WG150A/3/a,149.18440,-35.18686,WG,a,150A,3,38,38
78,WG150A/3/b,149.18421,-35.18774,WG,b,150A,3,134,38
79,WG150A/1/a,149.18365,-35.19110,WG,a,150A,1,39,39
80,WG150A/1/b,149.18329,-35.19195,WG,b,150A,1,135,39
81,WG78/2/a,149.17719,-35.18692,WG,a,78,2,40,40
82,WG78/2/b,149.17737,-35.18603,WG,b,78,2,136,40
83,WG78/3/a,149.17808,-35.18518,WG,a,78,3,41,41
84,WG78/3/b,149.17784,-35.18430,WG,b,78,3,137,41
85,WG78/4/a,149.17826,-35.18689,WG,a,78,4,42,42
86,WG78/4/b,149.17863,-35.18604,WG,b,78,4,138,42
87,WG78/1/a,149.17649,-35.18666,WG,a,78,1,43,43
88,WG78/1/b,149.17665,-35.18577,WG,b,78,1,139,43
89,WG108/4/a,149.17576,-35.20238,WG,a,108,4,44,44
90,WG108/4/b,149.17484,-35.20287,WG,b,108,4,140,44
91,WG108/1/a,149.17257,-35.20348,WG,a,108,1,45,45
92,WG108/1/b,149.17151,-35.20324,WG,b,108,1,141,45
93,WG108/2/a,149.17165,-35.20269,WG,a,108,2,46,46
94,WG108/2/b,149.17270,-35.20294,WG,b,108,2,142,46
95,WG108/3/a,149.17389,-35.20239,WG,a,108,3,47,47
96,WG108/3/b,149.17370,-35.20328,WG,b,108,3,143,47
97,MF22A/1/a,149.17092,-35.16415,MF,a,22A,1,48,48
98,MF22A/1/b,149.17175,-35.16357,MF,b,22A,1,144,48
99,MF22A/3/a,149.17245,-35.16518,MF,a,22A,3,49,49
100,MF22A/3/b,149.17327,-35.16458,MF,b,22A,3,145,49
101,MF22A/4/a,149.17410,-35.16533,MF,a,22A,4,50,50
102,MF22A/4/b,149.17320,-35.16584,MF,b,22A,4,146,50
103,MF22A/2/a,149.17159,-35.16464,MF,a,22A,2,51,51
104,MF22A/2/b,149.17242,-35.16405,MF,b,22A,2,147,51
105,MF27A/2/a,149.18526,-35.16549,MF,a,27,2,52,52
106,MF27A/2/b,149.18418,-35.16564,MF,b,27,2,148,52
107,MF27A/1/a,149.18328,-35.16765,MF,a,27,1,53,53
108,MF27A/1/b,149.18305,-35.16853,MF,b,27,1,149,53
109,MF27A/3/a,149.18446,-35.16677,MF,a,27,3,54,54
110,MF27A/3/b,149.18426,-35.16766,MF,b,27,3,150,54
111,MF27A/4/a,149.18551,-35.16723,MF,a,27,4,55,55
112,MF27A/4/b,149.18518,-35.16809,MF,b,27,4,151,55
113,MF25A/2/a,149.18058,-35.16657,MF,a,25,2,56,56
114,MF25A/2/b,149.17990,-35.16728,MF,b,25,2,152,56
115,MF25A/3/a,149.18078,-35.16769,MF,a,25,3,57,57
116,MF25A/3/b,149.18143,-35.16696,MF,b,25,3,153,57
117,MF25A/4/a,149.18179,-35.16812,MF,a,25,4,58,58
118,MF25A/4/b,149.18229,-35.16732,MF,b,25,4,154,58
119,MF25A/1/a,149.17941,-35.16812,MF,a,25,1,59,59
120,MF25A/1/b,149.18039,-35.16854,MF,b,25,1,155,59
121,MF32/1/a,149.16361,-35.17012,MF,a,32,1,60,60
122,MF32/1/b,149.16407,-35.16931,MF,b,32,1,156,60
123,MF32/4/a,149.16620,-35.16928,MF,a,32,4,61,61
124,MF32/4/b,149.16729,-35.16942,MF,b,32,4,157,61
125,MF32/3/a,149.16575,-35.17028,MF,a,32,3,62,62
126,MF32/3/b,149.16516,-35.17104,MF,b,32,3,158,62
127,MF32/2/a,149.16493,-35.16985,MF,a,32,2,63,63
128,MF32/2/b,149.16443,-35.17065,MF,b,32,2,159,63
129,MF38/2/a,149.15772,-35.16938,MF,a,38,2,64,64
130,MF38/2/b,149.15876,-35.16910,MF,b,38,2,160,64
131,MF38/3/a,149.15832,-35.17037,MF,a,38,3,65,65
132,MF38/3/b,149.15934,-35.17004,MF,b,38,3,161,65
133,MF38/1/a,149.15642,-35.17093,MF,a,38,1,66,66
134,MF38/1/b,149.15601,-35.17177,MF,b,38,1,162,66
135,MF38/4/a,149.16134,-35.16923,MF,a,38,4,67,67
136,MF38/4/b,149.16242,-35.16911,MF,b,38,4,163,67
137,MF34/4/a,149.16340,-35.17756,MF,a,34,4,68,68
138,MF34/4/b,149.16371,-35.17669,MF,b,34,4,164,68
139,MF34/1/a,149.15773,-35.17474,MF,a,34,1,69,69
140,MF34/1/b,149.15860,-35.17529,MF,b,34,1,165,69
141,MF34/3/a,149.16163,-35.17551,MF,a,34,3,70,70
142,MF34/3/b,149.16239,-35.17615,MF,b,34,3,166,70
143,MF34/2/a,149.15955,-35.17627,MF,a,34,2,71,71
144,MF34/2/b,149.16065,-35.17625,MF,b,34,2,167,71
145,MF37/3/a,149.15454,-35.17222,MF,a,37,3,72,72
146,MF37/3/b,149.15460,-35.17132,MF,b,37,3,168,72
147,MF37/2/a,149.15582,-35.17388,MF,a,37,2,73,73
148,MF37/2/b,149.15490,-35.17338,MF,b,37,2,169,73
149,MF37/4/a,149.15492,-35.16940,MF,a,37,4,74,74
150,MF37/4/b,149.15517,-35.17027,MF,b,37,4,170,74
151,MF37/1/a,149.15415,-35.17399,MF,a,37,1,75,75
152,MF37/1/b,149.15409,-35.17489,MF,b,37,1,171,75
153,MF11A/4/a,149.15279,-35.16518,MF,a,11A,4,76,76
154,MF11A/4/b,149.15387,-35.16533,MF,b,11A,4,172,76
155,MF11A/2/a,149.15038,-35.16539,MF,a,11A,2,77,77
156,MF11A/2/b,149.15148,-35.16542,MF,b,11A,2,173,77
157,MF11A/1/a,149.15092,-35.16606,MF,a,11A,1,78,78
158,MF11A/1/b,149.15202,-35.16615,MF,b,11A,1,174,78
159,MF11A/3/a,149.15143,-35.16463,MF,a,11A,3,79,79
160,MF11A/3/b,149.15236,-35.16416,MF,b,11A,3,175,79
161,MF9A/4/a,149.15546,-35.15932,MF,a,9A,4,80,80
162,MF9A/4/b,149.15440,-35.15909,MF,b,9A,4,176,80
163,MF9A/3/a,149.15420,-35.15998,MF,a,9A,3,81,81
164,MF9A/3/b,149.15368,-35.16077,MF,b,9A,3,177,81
165,MF9A/2/a,149.15235,-35.16247,MF,a,9A,2,82,82
166,MF9A/2/b,149.15294,-35.16171,MF,b,9A,2,178,82
167,MF9A/1/a,149.15001,-35.16452,MF,a,9A,1,83,83
168,MF9A/1/b,149.15078,-35.16388,MF,b,9A,1,179,83
169,MF16A/3/a,149.16164,-35.15762,MF,a,16A,3,84,84
170,MF16A/3/b,149.16075,-35.15710,MF,b,16A,3,180,84
171,MF16A/4/a,149.16179,-35.15926,MF,a,16A,4,85,85
172,MF16A/4/b,149.16073,-35.15903,MF,b,16A,4,181,85
173,MF16A/1/a,149.16098,-35.16000,MF,a,16A,1,86,86
174,MF16A/1/b,149.15993,-35.15973,MF,b,16A,1,182,86
175,MF16A/2/a,149.16132,-35.15834,MF,a,16A,2,87,87
176,MF16A/2/b,149.16043,-35.15781,MF,b,16A,2,183,87
177,MF19A/4/a,149.16125,-35.16518,MF,a,19A,4,88,88
178,MF19A/4/b,149.16042,-35.16577,MF,b,19A,4,184,88
179,MF19A/2/a,149.15833,-35.16334,MF,a,19A,2,89,89
180,MF19A/2/b,149.15939,-35.16359,MF,b,19A,2,185,89
181,MF19A/1/a,149.15543,-35.16437,MF,a,19A,1,90,90
182,MF19A/1/b,149.15625,-35.16378,MF,b,19A,1,186,90
